Linux 5.10.216-tegra (neu-desktop) 	11/04/2024 	_aarch64_	(12 CPU)

08:09:43 PM   UID       PID   cswch/s nvcswch/s  Command
08:09:44 PM  1000     56910     39.00      0.00  two_node_pipeli
08:09:44 PM  1000     56907     40.00      0.00  two_node_pipeli
08:09:44 PM  1000     56901     33.00      0.00  two_node_pipeli
08:09:44 PM  1000     56904     50.00      0.00  two_node_pipeli
08:09:44 PM  1000     56897     59.00      0.00  two_node_pipeli
08:09:44 PM  1000     56899     44.00      0.00  two_node_pipeli
08:09:44 PM  1000     56909     36.00      0.00  two_node_pipeli
08:09:44 PM  1000     56903     41.00      0.00  two_node_pipeli
08:09:44 PM  1000     56908     39.00      0.00  two_node_pipeli
08:09:44 PM  1000     56896     60.00      0.00  two_node_pipeli
08:09:44 PM  1000     56906     35.00      0.00  two_node_pipeli
08:09:44 PM  1000     56902     40.00      0.00  two_node_pipeli
08:09:44 PM  1000     56886     65.00      0.00  two_node_pipeli
08:09:44 PM  1000     56898     51.00      0.00  two_node_pipeli
08:09:44 PM  1000     56905     44.00      0.00  two_node_pipeli
08:09:44 PM  1000     56900     40.00      0.00  two_node_pipeli

08:09:44 PM   UID       PID   cswch/s nvcswch/s  Command
08:09:45 PM  1000     56910     39.00      0.00  two_node_pipeli
08:09:45 PM  1000     56907     39.00      0.00  two_node_pipeli
08:09:45 PM  1000     56901     43.00      0.00  two_node_pipeli
08:09:45 PM  1000     56904     39.00      0.00  two_node_pipeli
08:09:45 PM  1000     56897     57.00      0.00  two_node_pipeli
08:09:45 PM  1000     56899     40.00      0.00  two_node_pipeli
08:09:45 PM  1000     56909     42.00      0.00  two_node_pipeli
08:09:45 PM  1000     56903     37.00      0.00  two_node_pipeli
08:09:45 PM  1000     56908     46.00      0.00  two_node_pipeli
08:09:45 PM  1000     56896     59.00      0.00  two_node_pipeli
08:09:45 PM  1000     56906     43.00      0.00  two_node_pipeli
08:09:45 PM  1000     56902     38.00      0.00  two_node_pipeli
08:09:45 PM  1000     56886     56.00      0.00  two_node_pipeli
08:09:45 PM  1000     56898     56.00      0.00  two_node_pipeli
08:09:45 PM  1000     56905     43.00      0.00  two_node_pipeli
08:09:45 PM  1000     56900     36.00      0.00  two_node_pipeli

08:09:45 PM   UID       PID   cswch/s nvcswch/s  Command
08:09:46 PM  1000     56910     43.00      0.00  two_node_pipeli
08:09:46 PM  1000     56907     44.00      0.00  two_node_pipeli
08:09:46 PM  1000     56901     35.00      0.00  two_node_pipeli
08:09:46 PM  1000     56904     35.00      0.00  two_node_pipeli
08:09:46 PM  1000     56897     60.00      0.00  two_node_pipeli
08:09:46 PM  1000     56899     38.00      0.00  two_node_pipeli
08:09:46 PM  1000     56909     45.00      0.00  two_node_pipeli
08:09:46 PM  1000     56903     42.00      0.00  two_node_pipeli
08:09:46 PM  1000     56908     40.00      0.00  two_node_pipeli
08:09:46 PM  1000     56896     58.00      0.00  two_node_pipeli
08:09:46 PM  1000     56906     36.00      0.00  two_node_pipeli
08:09:46 PM  1000     56902     45.00      0.00  two_node_pipeli
08:09:46 PM  1000     56886     53.00      0.00  two_node_pipeli
08:09:46 PM  1000     56898     58.00      0.00  two_node_pipeli
08:09:46 PM  1000     56905     40.00      0.00  two_node_pipeli
08:09:46 PM  1000     56900     41.00      0.00  two_node_pipeli

08:09:46 PM   UID       PID   cswch/s nvcswch/s  Command
08:09:47 PM  1000     56910     34.00      0.00  two_node_pipeli
08:09:47 PM  1000     56907     31.00      0.00  two_node_pipeli
08:09:47 PM  1000     56901     43.00      0.00  two_node_pipeli
08:09:47 PM  1000     56904     45.00      0.00  two_node_pipeli
08:09:47 PM  1000     56897     57.00      0.00  two_node_pipeli
08:09:47 PM  1000     56899     43.00      0.00  two_node_pipeli
08:09:47 PM  1000     56909     33.00      0.00  two_node_pipeli
08:09:47 PM  1000     56903     40.00      0.00  two_node_pipeli
08:09:47 PM  1000     56908     45.00      0.00  two_node_pipeli
08:09:47 PM  1000     56896     52.00      0.00  two_node_pipeli
08:09:47 PM  1000     56906     47.00      0.00  two_node_pipeli
08:09:47 PM  1000     56902     41.00      0.00  two_node_pipeli
08:09:47 PM  1000     56886     64.00      0.00  two_node_pipeli
08:09:47 PM  1000     56898     58.00      0.00  two_node_pipeli
08:09:47 PM  1000     56905     40.00      0.00  two_node_pipeli
08:09:47 PM  1000     56900     46.00      0.00  two_node_pipeli

08:09:47 PM   UID       PID   cswch/s nvcswch/s  Command
08:09:48 PM  1000     56910     46.00      0.00  two_node_pipeli
08:09:48 PM  1000     56907     41.00      0.00  two_node_pipeli
08:09:48 PM  1000     56901     42.00      0.00  two_node_pipeli
08:09:48 PM  1000     56904     36.00      0.00  two_node_pipeli
08:09:48 PM  1000     56897     57.00      0.00  two_node_pipeli
08:09:48 PM  1000     56899     39.00      0.00  two_node_pipeli
08:09:48 PM  1000     56909     38.00      0.00  two_node_pipeli
