Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

06:22:21 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:22:22 PM  1000     16833    3.00    1.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:23 PM  1000     16833    3.00    1.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:24 PM  1000     16833    1.00    2.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:25 PM  1000     16833    2.00    1.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:26 PM  1000     16833    3.00    1.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:27 PM  1000     16833    2.00    1.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:28 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:29 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:30 PM  1000     16833    4.00    0.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:31 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:32 PM  1000     16833    4.00    0.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:33 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:34 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:35 PM  1000     16833    3.00    1.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:36 PM  1000     16833    3.00    1.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:37 PM  1000     16833    2.00    1.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:38 PM  1000     16833    2.00    0.00    0.00    0.00    2.00     5  two_node_pipeli
06:22:39 PM  1000     16833    2.00    2.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:40 PM  1000     16833    2.00    2.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:41 PM  1000     16833    2.00    0.00    0.00    0.00    2.00     5  two_node_pipeli
06:22:42 PM  1000     16833    3.00    1.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:43 PM  1000     16833    2.00    1.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:44 PM  1000     16833    2.00    2.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:45 PM  1000     16833    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
06:22:46 PM  1000     16833    3.00    1.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:47 PM  1000     16833    2.00    1.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:48 PM  1000     16833    2.00    1.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:49 PM  1000     16833    3.00    1.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:50 PM  1000     16833    4.00    0.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:51 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:52 PM  1000     16833    4.00    0.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:53 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:54 PM  1000     16833    4.00    0.00    0.00    0.00    4.00     5  two_node_pipeli
06:22:55 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
06:22:56 PM  1000     16833    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
