Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

06:47:22 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:23 PM  1000     30603     15.00      0.00  two_node_pipeli
06:47:23 PM  1000     30602     14.00      0.00  two_node_pipeli
06:47:23 PM  1000     30591     15.00      0.00  two_node_pipeli
06:47:23 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:23 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:24 PM  1000     30603     15.84      0.00  two_node_pipeli
06:47:24 PM  1000     30602     14.85      0.00  two_node_pipeli
06:47:24 PM  1000     30591     15.84      0.00  two_node_pipeli
06:47:24 PM  1000     30604     13.86      0.00  two_node_pipeli

06:47:24 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:25 PM  1000     30603     16.00      0.00  two_node_pipeli
06:47:25 PM  1000     30602     16.00      0.00  two_node_pipeli
06:47:25 PM  1000     30591     16.00      0.00  two_node_pipeli
06:47:25 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:25 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:26 PM  1000     30603     19.00      0.00  two_node_pipeli
06:47:26 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:26 PM  1000     30591     18.00      0.00  two_node_pipeli
06:47:26 PM  1000     30604     17.00      0.00  two_node_pipeli

06:47:26 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:27 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:27 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:27 PM  1000     30591     16.00      0.00  two_node_pipeli
06:47:27 PM  1000     30604     17.00      0.00  two_node_pipeli

06:47:27 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:28 PM  1000     30603     18.00      0.00  two_node_pipeli
06:47:28 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:28 PM  1000     30591     16.00      0.00  two_node_pipeli
06:47:28 PM  1000     30604     15.00      0.00  two_node_pipeli

06:47:28 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:29 PM  1000     30603     16.00      0.00  two_node_pipeli
06:47:29 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:29 PM  1000     30591     16.00      0.00  two_node_pipeli
06:47:29 PM  1000     30604     16.00      0.00  two_node_pipeli

06:47:29 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:30 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:30 PM  1000     30602     18.00      0.00  two_node_pipeli
06:47:30 PM  1000     30591     16.00      0.00  two_node_pipeli
06:47:30 PM  1000     30604     15.00      0.00  two_node_pipeli

06:47:30 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:31 PM  1000     30603     19.00      0.00  two_node_pipeli
06:47:31 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:31 PM  1000     30591     20.00      0.00  two_node_pipeli
06:47:31 PM  1000     30604     20.00      0.00  two_node_pipeli

06:47:31 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:32 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:32 PM  1000     30602     18.00      0.00  two_node_pipeli
06:47:32 PM  1000     30591     17.00      0.00  two_node_pipeli
06:47:32 PM  1000     30604     18.00      0.00  two_node_pipeli

06:47:32 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:33 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:33 PM  1000     30602     16.00      0.00  two_node_pipeli
06:47:33 PM  1000     30591     17.00      0.00  two_node_pipeli
06:47:33 PM  1000     30604     17.00      0.00  two_node_pipeli

06:47:33 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:34 PM  1000     30603     15.00      0.00  two_node_pipeli
06:47:34 PM  1000     30602     16.00      0.00  two_node_pipeli
06:47:34 PM  1000     30591     16.00      0.00  two_node_pipeli
06:47:34 PM  1000     30604     18.00      0.00  two_node_pipeli

06:47:34 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:35 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:35 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:35 PM  1000     30591     19.00      0.00  two_node_pipeli
06:47:35 PM  1000     30604     18.00      0.00  two_node_pipeli

06:47:35 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:36 PM  1000     30603     21.00      0.00  two_node_pipeli
06:47:36 PM  1000     30602     18.00      0.00  two_node_pipeli
06:47:36 PM  1000     30591     19.00      0.00  two_node_pipeli
06:47:36 PM  1000     30604     21.00      0.00  two_node_pipeli

06:47:36 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:37 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:37 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:37 PM  1000     30591     18.00      0.00  two_node_pipeli
06:47:37 PM  1000     30604     17.00      0.00  two_node_pipeli

06:47:37 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:38 PM  1000     30603     17.00      0.00  two_node_pipeli
06:47:38 PM  1000     30602     17.00      0.00  two_node_pipeli
06:47:38 PM  1000     30591     19.00      0.00  two_node_pipeli
06:47:38 PM  1000     30604     16.00      0.00  two_node_pipeli

