Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

02:12:55 PM   UID       PID   cswch/s nvcswch/s  Command
02:12:56 PM  1000    207114     50.00      0.00  two_node_pipeli
02:12:56 PM  1000    207125     48.00      0.00  two_node_pipeli
02:12:56 PM  1000    207131     24.00      0.00  two_node_pipeli
02:12:56 PM  1000    207132     26.00      0.00  two_node_pipeli
02:12:56 PM  1000    207134     24.00      0.00  two_node_pipeli
02:12:56 PM  1000    207128     28.00      0.00  two_node_pipeli
02:12:56 PM  1000    207126     41.00      0.00  two_node_pipeli
02:12:56 PM  1000    207135     26.00      0.00  two_node_pipeli
02:12:56 PM  1000    207137     29.00      0.00  two_node_pipeli
02:12:56 PM  1000    207136     29.00      0.00  two_node_pipeli
02:12:56 PM  1000    207127     46.00      0.00  two_node_pipeli
02:12:56 PM  1000    207133     28.00      0.00  two_node_pipeli
02:12:56 PM  1000    207138     29.00      0.00  two_node_pipeli
02:12:56 PM  1000    207130     29.00      0.00  two_node_pipeli
02:12:56 PM  1000    207129     29.00      0.00  two_node_pipeli

02:12:56 PM   UID       PID   cswch/s nvcswch/s  Command
02:12:57 PM  1000    207114     47.00      0.00  two_node_pipeli
02:12:57 PM  1000    207125     54.00      0.00  two_node_pipeli
02:12:57 PM  1000    207131     23.00      0.00  two_node_pipeli
02:12:57 PM  1000    207132     29.00      1.00  two_node_pipeli
02:12:57 PM  1000    207134     27.00      0.00  two_node_pipeli
02:12:57 PM  1000    207128     26.00      1.00  two_node_pipeli
02:12:57 PM  1000    207126     40.00      1.00  two_node_pipeli
02:12:57 PM  1000    207135     31.00      0.00  two_node_pipeli
02:12:57 PM  1000    207137     32.00      0.00  two_node_pipeli
02:12:57 PM  1000    207136     26.00      0.00  two_node_pipeli
02:12:57 PM  1000    207127     48.00      0.00  two_node_pipeli
02:12:57 PM  1000    207133     24.00      0.00  two_node_pipeli
02:12:57 PM  1000    207138     33.00      0.00  two_node_pipeli
02:12:57 PM  1000    207130     27.00      0.00  two_node_pipeli
02:12:57 PM  1000    207129     26.00      0.00  two_node_pipeli

02:12:57 PM   UID       PID   cswch/s nvcswch/s  Command
02:12:58 PM  1000    207114     49.00      0.00  two_node_pipeli
02:12:58 PM  1000    207125     44.00      0.00  two_node_pipeli
02:12:58 PM  1000    207131     32.00      0.00  two_node_pipeli
02:12:58 PM  1000    207132     30.00      0.00  two_node_pipeli
02:12:58 PM  1000    207134     29.00      0.00  two_node_pipeli
02:12:58 PM  1000    207128     30.00      0.00  two_node_pipeli
02:12:58 PM  1000    207126     49.00      0.00  two_node_pipeli
02:12:58 PM  1000    207135     27.00      0.00  two_node_pipeli
02:12:58 PM  1000    207137     25.00      0.00  two_node_pipeli
02:12:58 PM  1000    207136     31.00      0.00  two_node_pipeli
02:12:58 PM  1000    207127     56.00      0.00  two_node_pipeli
02:12:58 PM  1000    207133     30.00      0.00  two_node_pipeli
02:12:58 PM  1000    207138     22.00      0.00  two_node_pipeli
02:12:58 PM  1000    207130     29.00      0.00  two_node_pipeli
02:12:58 PM  1000    207129     28.00      0.00  two_node_pipeli

02:12:58 PM   UID       PID   cswch/s nvcswch/s  Command
02:12:59 PM  1000    207114     45.00      0.00  two_node_pipeli
02:12:59 PM  1000    207125     44.00      0.00  two_node_pipeli
02:12:59 PM  1000    207131     29.00      0.00  two_node_pipeli
02:12:59 PM  1000    207132     26.00      0.00  two_node_pipeli
02:12:59 PM  1000    207134     30.00      0.00  two_node_pipeli
02:12:59 PM  1000    207128     31.00      0.00  two_node_pipeli
02:12:59 PM  1000    207126     49.00      0.00  two_node_pipeli
02:12:59 PM  1000    207135     31.00      0.00  two_node_pipeli
02:12:59 PM  1000    207137     28.00      0.00  two_node_pipeli
02:12:59 PM  1000    207136     26.00      0.00  two_node_pipeli
02:12:59 PM  1000    207127     54.00      0.00  two_node_pipeli
02:12:59 PM  1000    207133     32.00      0.00  two_node_pipeli
02:12:59 PM  1000    207138     29.00      0.00  two_node_pipeli
02:12:59 PM  1000    207130     25.00      0.00  two_node_pipeli
02:12:59 PM  1000    207129     25.00      0.00  two_node_pipeli

02:12:59 PM   UID       PID   cswch/s nvcswch/s  Command
02:13:00 PM  1000    207114     59.00      0.00  two_node_pipeli
02:13:00 PM  1000    207125     43.00      0.00  two_node_pipeli
02:13:00 PM  1000    207131     31.00      0.00  two_node_pipeli
02:13:00 PM  1000    207132     25.00      0.00  two_node_pipeli
02:13:00 PM  1000    207134     21.00      0.00  two_node_pipeli
02:13:00 PM  1000    207128     28.00      0.00  two_node_pipeli
