Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

02:24:27 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:24:28 PM  1000    216249  320.79    0.00    0.00   21.78  320.79     6  two_node_pipeli
02:24:29 PM  1000    216249  324.00    0.00    0.00   20.00  324.00     4  two_node_pipeli
02:24:30 PM  1000    216249  323.00    0.00    0.00   24.00  323.00     7  two_node_pipeli
02:24:31 PM  1000    216249  323.00    0.00    0.00   14.00  323.00     7  two_node_pipeli
02:24:32 PM  1000    216249  324.00    0.00    0.00   20.00  324.00     5  two_node_pipeli
02:24:33 PM  1000    216249  324.00    0.00    0.00   20.00  324.00     5  two_node_pipeli
02:24:34 PM  1000    216249  323.00    1.00    0.00   20.00  324.00     6  two_node_pipeli
02:24:35 PM  1000    216249  324.00    0.00    0.00   26.00  324.00     5  two_node_pipeli
02:24:36 PM  1000    216249  323.00    0.00    0.00   22.00  323.00     6  two_node_pipeli
02:24:37 PM  1000    216249  325.00    0.00    0.00   24.00  325.00     6  two_node_pipeli
02:24:38 PM  1000    216249  323.00    0.00    0.00   16.00  323.00     5  two_node_pipeli
02:24:39 PM  1000    216249  323.00    0.00    0.00   23.00  323.00     7  two_node_pipeli
02:24:40 PM  1000    216249  324.00    0.00    0.00   24.00  324.00     5  two_node_pipeli
02:24:41 PM  1000    216249  325.00    0.00    0.00   21.00  325.00     4  two_node_pipeli
02:24:42 PM  1000    216249  323.00    0.00    0.00   20.00  323.00     5  two_node_pipeli
02:24:43 PM  1000    216249  323.00    0.00    0.00   17.00  323.00     4  two_node_pipeli
02:24:44 PM  1000    216249  324.00    0.00    0.00   20.00  324.00     4  two_node_pipeli
02:24:45 PM  1000    216249  324.00    0.00    0.00   14.00  324.00     6  two_node_pipeli
02:24:46 PM  1000    216249  323.00    0.00    0.00   21.00  323.00     7  two_node_pipeli
02:24:47 PM  1000    216249  324.00    0.00    0.00   19.00  324.00     6  two_node_pipeli
02:24:48 PM  1000    216249  324.00    0.00    0.00   22.00  324.00     6  two_node_pipeli
02:24:49 PM  1000    216249  324.00    0.00    0.00   16.00  324.00     7  two_node_pipeli
02:24:50 PM  1000    216249  323.00    0.00    0.00   19.00  323.00     6  two_node_pipeli
02:24:51 PM  1000    216249  324.00    0.00    0.00   20.00  324.00     6  two_node_pipeli
02:24:52 PM  1000    216249  324.00    0.00    0.00   19.00  324.00     5  two_node_pipeli
02:24:53 PM  1000    216249  323.00    0.00    0.00   20.00  323.00     5  two_node_pipeli
02:24:54 PM  1000    216249  324.00    0.00    0.00   19.00  324.00     6  two_node_pipeli
02:24:55 PM  1000    216249  323.00    0.00    0.00   19.00  323.00     6  two_node_pipeli
02:24:56 PM  1000    216249  324.00    0.00    0.00   22.00  324.00     6  two_node_pipeli
02:24:57 PM  1000    216249  325.00    0.00    0.00   21.00  325.00     4  two_node_pipeli
02:24:58 PM  1000    216249  323.00    0.00    0.00   17.00  323.00     6  two_node_pipeli
02:24:59 PM  1000    216249  324.00    0.00    0.00   21.00  324.00     6  two_node_pipeli
02:25:00 PM  1000    216249  324.00    0.00    0.00   21.00  324.00     7  two_node_pipeli
02:25:01 PM  1000    216249  324.00    0.00    0.00   23.00  324.00     7  two_node_pipeli
02:25:02 PM  1000    216249  324.00    0.00    0.00   22.00  324.00     6  two_node_pipeli
02:25:03 PM  1000    216249  323.00    0.00    0.00   19.00  323.00     7  two_node_pipeli
02:25:04 PM  1000    216249  323.00    0.00    0.00   16.00  323.00     7  two_node_pipeli
02:25:05 PM  1000    216249  325.00    0.00    0.00   20.00  325.00     7  two_node_pipeli
02:25:06 PM  1000    216249  323.00    0.00    0.00   24.00  323.00     7  two_node_pipeli
02:25:07 PM  1000    216249  324.00    0.00    0.00   17.00  324.00     7  two_node_pipeli
02:25:08 PM  1000    216249  323.00    0.00    0.00   24.00  323.00     5  two_node_pipeli
02:25:09 PM  1000    216249  325.00    0.00    0.00   22.00  325.00     5  two_node_pipeli
02:25:10 PM  1000    216249  323.00    0.00    0.00   24.00  323.00     6  two_node_pipeli
02:25:11 PM  1000    216249  323.00    0.00    0.00   18.00  323.00     6  two_node_pipeli
02:25:12 PM  1000    216249  324.00    0.00    0.00   22.00  324.00     6  two_node_pipeli
02:25:13 PM  1000    216249  324.00    0.00    0.00   28.00  324.00     5  two_node_pipeli
02:25:14 PM  1000    216249  323.00    0.00    0.00   14.00  323.00     5  two_node_pipeli
02:25:15 PM  1000    216249  323.00    0.00    0.00   21.00  323.00     7  two_node_pipeli
02:25:16 PM  1000    216249  324.00    0.00    0.00   20.00  324.00     5  two_node_pipeli
02:25:17 PM  1000    216249  325.00    0.00    0.00   23.00  325.00     7  two_node_pipeli
02:25:18 PM  1000    216249  322.00    0.00    0.00   18.00  322.00     7  two_node_pipeli
02:25:19 PM  1000    216249  325.00    0.00    0.00   17.00  325.00     4  two_node_pipeli
02:25:20 PM  1000    216249  324.00    0.00    0.00   25.00  324.00     5  two_node_pipeli
02:25:21 PM  1000    216249  323.00    0.00    0.00   18.00  323.00     5  two_node_pipeli
02:25:22 PM  1000    216249  324.00    0.00    0.00   24.00  324.00     5  two_node_pipeli
02:25:23 PM  1000    216249  323.00    0.00    0.00   21.00  323.00     4  two_node_pipeli
02:25:24 PM  1000    216249  324.00    0.00    0.00   22.00  324.00     4  two_node_pipeli
02:25:25 PM  1000    216249  325.00    0.00    0.00   18.00  325.00     7  two_node_pipeli
