Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

08:37:26 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:27 PM  1000     83394     29.00      0.00  two_node_pipeli
08:37:27 PM  1000     83382     33.00      0.00  two_node_pipeli
08:37:27 PM  1000     83393     33.00      0.00  two_node_pipeli
08:37:27 PM  1000     83392     21.00      0.00  two_node_pipeli

08:37:27 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:28 PM  1000     83394     23.00      1.00  two_node_pipeli
08:37:28 PM  1000     83382     26.00      1.00  two_node_pipeli
08:37:28 PM  1000     83393     36.00      1.00  two_node_pipeli
08:37:28 PM  1000     83392     30.00      0.00  two_node_pipeli

08:37:28 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:29 PM  1000     83394     26.00      0.00  two_node_pipeli
08:37:29 PM  1000     83382     26.00      0.00  two_node_pipeli
08:37:29 PM  1000     83393     22.00      0.00  two_node_pipeli
08:37:29 PM  1000     83392     30.00      0.00  two_node_pipeli

08:37:29 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:30 PM  1000     83394     23.00      0.00  two_node_pipeli
08:37:30 PM  1000     83382     27.00      0.00  two_node_pipeli
08:37:30 PM  1000     83393     33.00      0.00  two_node_pipeli
08:37:30 PM  1000     83392     34.00      0.00  two_node_pipeli

08:37:30 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:31 PM  1000     83394     27.00      0.00  two_node_pipeli
08:37:31 PM  1000     83382     32.00      0.00  two_node_pipeli
08:37:31 PM  1000     83393     31.00      0.00  two_node_pipeli
08:37:31 PM  1000     83392     29.00      0.00  two_node_pipeli

08:37:31 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:32 PM  1000     83394     27.00      1.00  two_node_pipeli
08:37:32 PM  1000     83382     27.00      1.00  two_node_pipeli
08:37:32 PM  1000     83393     26.00      1.00  two_node_pipeli
08:37:32 PM  1000     83392     32.00      1.00  two_node_pipeli

08:37:32 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:33 PM  1000     83394     25.00      0.00  two_node_pipeli
08:37:33 PM  1000     83382     27.00      0.00  two_node_pipeli
08:37:33 PM  1000     83393     25.00      0.00  two_node_pipeli
08:37:33 PM  1000     83392     25.00      0.00  two_node_pipeli

08:37:33 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:34 PM  1000     83394     35.00      0.00  two_node_pipeli
08:37:34 PM  1000     83382     28.00      0.00  two_node_pipeli
08:37:34 PM  1000     83393     26.00      0.00  two_node_pipeli
08:37:34 PM  1000     83392     27.00      0.00  two_node_pipeli

08:37:34 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:35 PM  1000     83394     35.00      0.00  two_node_pipeli
08:37:35 PM  1000     83382     27.00      0.00  two_node_pipeli
08:37:35 PM  1000     83393     33.00      0.00  two_node_pipeli
08:37:35 PM  1000     83392     27.00      0.00  two_node_pipeli

08:37:35 PM   UID       PID   cswch/s nvcswch/s  Command
08:37:36 PM  1000     83394     29.00      1.00  two_node_pipeli
08:37:36 PM  1000     83382     30.00      1.00  two_node_pipeli
08:37:36 PM  1000     83393     30.00      1.00  two_node_pipeli
08:37:36 PM  1000     83392     28.00      1.00  two_node_pipeli

08:37:36 PM   UID       PID   cswch/s nvcswch/s  Command
