Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

08:58:19 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:58:20 PM  1000      9382  322.00    1.00    0.00    0.00  323.00     4  two_node_pipeli
08:58:21 PM  1000      9382  322.00    1.00    0.00    0.00  323.00     4  two_node_pipeli
08:58:22 PM  1000      9382  325.00    0.00    0.00    0.00  325.00     4  two_node_pipeli
08:58:23 PM  1000      9382  316.00    0.00    0.00    0.00  316.00     4  two_node_pipeli
08:58:24 PM  1000      9382  320.00    1.00    0.00    0.00  321.00     4  two_node_pipeli
08:58:25 PM  1000      9382  324.00    0.00    0.00    0.00  324.00     4  two_node_pipeli
08:58:26 PM  1000      9382  322.00    0.00    0.00    2.00  322.00     4  two_node_pipeli
08:58:27 PM  1000      9382  325.00    0.00    0.00    0.00  325.00     4  two_node_pipeli
08:58:28 PM  1000      9382  325.00    1.00    0.00    0.00  326.00     4  two_node_pipeli
08:58:29 PM  1000      9382  321.00    0.00    0.00    0.00  321.00     4  two_node_pipeli
08:58:30 PM  1000      9382  324.00    0.00    0.00    2.00  324.00     4  two_node_pipeli
08:58:31 PM  1000      9382  327.00    0.00    0.00    0.00  327.00     4  two_node_pipeli
08:58:32 PM  1000      9382  320.00    0.00    0.00    0.00  320.00     4  two_node_pipeli
08:58:33 PM  1000      9382  324.00    0.00    0.00    2.00  324.00     4  two_node_pipeli
08:58:34 PM  1000      9382  322.00    0.00    0.00    0.00  322.00     4  two_node_pipeli
08:58:35 PM  1000      9382  326.00    0.00    0.00    0.00  326.00     4  two_node_pipeli
08:58:36 PM  1000      9382  324.00    1.00    0.00    0.00  325.00     4  two_node_pipeli
08:58:37 PM  1000      9382  321.00    0.00    0.00    0.00  321.00     4  two_node_pipeli
08:58:38 PM  1000      9382  324.00    0.00    0.00    0.00  324.00     4  two_node_pipeli
08:58:39 PM  1000      9382  325.00    0.00    0.00    0.00  325.00     4  two_node_pipeli
08:58:40 PM  1000      9382  325.00    0.00    0.00    0.00  325.00     4  two_node_pipeli
08:58:41 PM  1000      9382  322.00    0.00    0.00    0.00  322.00     4  two_node_pipeli
08:58:42 PM  1000      9382  318.00    0.00    0.00    0.00  318.00     4  two_node_pipeli
08:58:43 PM  1000      9382  318.00    1.00    0.00    0.00  319.00     4  two_node_pipeli
08:58:44 PM  1000      9382  323.00    0.00    0.00    0.00  323.00     4  two_node_pipeli
08:58:45 PM  1000      9382  324.00    0.00    0.00    0.00  324.00     4  two_node_pipeli
