Linux 5.10.216-tegra (neu-desktop) 	01/01/1970 	_aarch64_	(12 CPU)

10:37:47 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:37:48 AM  1000      7672    8.00    7.00    0.00    1.00   15.00     6  two_node_pipeli
10:37:49 AM  1000      7672    7.00    8.00    0.00    1.00   15.00     5  two_node_pipeli
10:37:50 AM  1000      7672    9.00    3.00    0.00    1.00   12.00     4  two_node_pipeli
10:37:51 AM  1000      7672    8.00    5.00    0.00    1.00   13.00     4  two_node_pipeli
10:37:52 AM  1000      7672    7.00    5.00    0.00    1.00   12.00     9  two_node_pipeli
10:37:53 AM  1000      7672    5.00    6.00    0.00    1.00   11.00     6  two_node_pipeli
10:37:54 AM  1000      7672    8.00    3.00    0.00    1.00   11.00     8  two_node_pipeli
10:37:55 AM  1000      7672    8.00    4.00    0.00    1.00   12.00     8  two_node_pipeli
10:37:56 AM  1000      7672    7.00    5.00    0.00    1.00   12.00     5  two_node_pipeli
10:37:57 AM  1000      7672    7.00    4.00    0.00    1.00   11.00     5  two_node_pipeli
10:37:58 AM  1000      7672    7.00    2.00    0.00    0.00    9.00     4  two_node_pipeli
10:37:59 AM  1000      7672    5.00    6.00    0.00    1.00   11.00     7  two_node_pipeli
10:38:00 AM  1000      7672    7.00    4.00    0.00    1.00   11.00     9  two_node_pipeli
10:38:01 AM  1000      7672    6.00    7.00    0.00    1.00   13.00     6  two_node_pipeli
10:38:02 AM  1000      7672    9.00    1.00    0.00    1.00   10.00     5  two_node_pipeli
10:38:03 AM  1000      7672    7.00    4.00    0.00    1.00   11.00     4  two_node_pipeli
10:38:04 AM  1000      7672    7.00    6.00    0.00    1.00   13.00     6  two_node_pipeli
10:38:05 AM  1000      7672    4.00    8.00    0.00    1.00   12.00     7  two_node_pipeli
10:38:06 AM  1000      7672    3.00    7.00    0.00    0.00   10.00     9  two_node_pipeli
10:38:07 AM  1000      7672    7.00    5.00    0.00    1.00   12.00     6  two_node_pipeli
10:38:08 AM  1000      7672    7.00    4.00    0.00    1.00   11.00     5  two_node_pipeli
10:38:09 AM  1000      7672    6.00    6.00    0.00    1.00   12.00     6  two_node_pipeli
10:38:10 AM  1000      7672    8.00    3.00    0.00    0.00   11.00     8  two_node_pipeli
10:38:11 AM  1000      7672    7.00    3.00    0.00    1.00   10.00     9  two_node_pipeli
10:38:12 AM  1000      7672    5.00    7.00    0.00    1.00   12.00     9  two_node_pipeli
10:38:13 AM  1000      7672    7.00    5.00    0.00    1.00   12.00     4  two_node_pipeli
10:38:14 AM  1000      7672    6.00    5.00    0.00    0.00   11.00     8  two_node_pipeli
10:38:15 AM  1000      7672    8.00    4.00    0.00    1.00   12.00     5  two_node_pipeli
