Linux 5.10.216-tegra (neu-desktop) 	01/01/1970 	_aarch64_	(12 CPU)

10:38:49 AM   UID       PID   cswch/s nvcswch/s  Command
10:38:50 AM  1000      7705     34.00      0.00  two_node_pipeli
10:38:50 AM  1000      7672     37.00      0.00  two_node_pipeli
10:38:50 AM  1000      7702     23.00      0.00  two_node_pipeli
10:38:50 AM  1000      7704     20.00      0.00  two_node_pipeli
10:38:50 AM  1000      7738     32.00      0.00  two_node_pipeli
10:38:50 AM  1000      7701     27.00      0.00  two_node_pipeli
10:38:50 AM  1000      7711     36.00      0.00  two_node_pipeli
10:38:50 AM  1000      7691     44.00      0.00  two_node_pipeli
10:38:50 AM  1000      7696     35.00      0.00  two_node_pipeli
10:38:50 AM  1000      7693     28.00      0.00  two_node_pipeli
10:38:50 AM  1000      7699     23.00      0.00  two_node_pipeli
10:38:50 AM  1000      7713     36.00      0.00  two_node_pipeli
10:38:50 AM  1000      7698     26.00      0.00  two_node_pipeli
10:38:50 AM  1000      7706     32.00      0.00  two_node_pipeli
10:38:50 AM  1000      7687     40.00      0.00  two_node_pipeli
10:38:50 AM  1000      7700     24.00      0.00  two_node_pipeli
10:38:50 AM  1000      7710     38.00      0.00  two_node_pipeli
10:38:50 AM  1000      7737     30.00      0.00  two_node_pipeli
10:38:50 AM  1000      7780     26.00      0.00  two_node_pipeli
10:38:50 AM  1000      7694     30.00      0.00  two_node_pipeli
10:38:50 AM  1000      7685     48.00      0.00  two_node_pipeli
10:38:50 AM  1000      7697     26.00      0.00  two_node_pipeli
10:38:50 AM  1000      7686     40.00      0.00  two_node_pipeli
10:38:50 AM  1000      7703     22.00      0.00  two_node_pipeli
10:38:50 AM  1000      7695     28.00      0.00  two_node_pipeli
10:38:50 AM  1000      7760     31.00      0.00  two_node_pipeli
10:38:50 AM  1000      7689     44.00      0.00  two_node_pipeli
10:38:50 AM  1000      7688     30.00      0.00  two_node_pipeli
10:38:50 AM  1000      7739     32.00      0.00  two_node_pipeli
10:38:50 AM  1000      7779     28.00      0.00  two_node_pipeli
10:38:50 AM  1000      7778     27.00      0.00  two_node_pipeli
10:38:50 AM  1000      7692     34.00      0.00  two_node_pipeli
10:38:50 AM  1000      7730     26.00      0.00  two_node_pipeli
10:38:50 AM  1000      7690     29.00      0.00  two_node_pipeli
10:38:50 AM  1000      7740     32.00      0.00  two_node_pipeli
10:38:50 AM  1000      7741     33.00      0.00  two_node_pipeli

10:38:50 AM   UID       PID   cswch/s nvcswch/s  Command
10:38:51 AM  1000      7705     16.00      0.00  two_node_pipeli
10:38:51 AM  1000      7672     40.00      0.00  two_node_pipeli
10:38:51 AM  1000      7702     37.00      0.00  two_node_pipeli
10:38:51 AM  1000      7704     34.00      0.00  two_node_pipeli
10:38:51 AM  1000      7738     41.00      0.00  two_node_pipeli
10:38:51 AM  1000      7701     28.00      0.00  two_node_pipeli
10:38:51 AM  1000      7711     19.00      0.00  two_node_pipeli
10:38:51 AM  1000      7691     41.00      0.00  two_node_pipeli
10:38:51 AM  1000      7696     28.00      0.00  two_node_pipeli
10:38:51 AM  1000      7693     31.00      0.00  two_node_pipeli
10:38:51 AM  1000      7699     31.00      0.00  two_node_pipeli
10:38:51 AM  1000      7713     21.00      0.00  two_node_pipeli
10:38:51 AM  1000      7698     37.00      0.00  two_node_pipeli
10:38:51 AM  1000      7706     21.00      0.00  two_node_pipeli
10:38:51 AM  1000      7687     42.00      0.00  two_node_pipeli
10:38:51 AM  1000      7700     31.00      0.00  two_node_pipeli
10:38:51 AM  1000      7710     21.00      0.00  two_node_pipeli
