Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

01:11:38 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:11:39 PM  1000    165731   16.00    5.00    0.00    1.00   21.00     8  two_node_pipeli
01:11:40 PM  1000    165731   14.00    0.00    0.00    0.00   14.00     6  two_node_pipeli
01:11:41 PM  1000    165731   12.00    4.00    0.00    1.00   16.00    10  two_node_pipeli
01:11:42 PM  1000    165731   14.00    3.00    0.00    1.00   17.00     8  two_node_pipeli
01:11:43 PM  1000    165731   12.00    5.00    0.00    1.00   17.00     4  two_node_pipeli
01:11:44 PM  1000    165731   13.00    3.00    0.00    1.00   16.00     8  two_node_pipeli
01:11:45 PM  1000    165731   14.00    1.00    0.00    1.00   15.00    10  two_node_pipeli
01:11:46 PM  1000    165731   13.00    2.00    0.00    1.00   15.00     7  two_node_pipeli
01:11:47 PM  1000    165731   13.00    5.00    0.00    1.00   18.00     7  two_node_pipeli
01:11:48 PM  1000    165731   10.00    5.00    0.00    0.00   15.00     5  two_node_pipeli
01:11:49 PM  1000    165731   15.00    2.00    0.00    1.00   17.00     5  two_node_pipeli
01:11:50 PM  1000    165731   12.00    4.00    0.00    0.00   16.00     4  two_node_pipeli
01:11:51 PM  1000    165731   15.00    2.00    0.00    2.00   17.00    10  two_node_pipeli
01:11:52 PM  1000    165731   14.00    1.00    0.00    0.00   15.00     5  two_node_pipeli
01:11:53 PM  1000    165731   13.00    3.00    0.00    1.00   16.00     5  two_node_pipeli
01:11:54 PM  1000    165731   15.00    2.00    0.00    1.00   17.00     5  two_node_pipeli
01:11:55 PM  1000    165731   11.88    2.97    0.00    0.99   14.85     5  two_node_pipeli
01:11:56 PM  1000    165731   12.00    1.00    0.00    0.00   13.00     6  two_node_pipeli
01:11:57 PM  1000    165731   16.00    2.00    0.00    1.00   18.00     8  two_node_pipeli
01:11:58 PM  1000    165731   15.00    2.00    0.00    1.00   17.00     7  two_node_pipeli
01:11:59 PM  1000    165731   14.00    3.00    0.00    1.00   17.00    11  two_node_pipeli
01:12:00 PM  1000    165731   15.00    1.00    0.00    1.00   16.00     5  two_node_pipeli
01:12:01 PM  1000    165731   12.00    4.00    0.00    1.00   16.00     4  two_node_pipeli
01:12:02 PM  1000    165731   15.00    3.00    0.00    1.00   18.00     6  two_node_pipeli
01:12:03 PM  1000    165731   13.00    4.00    0.00    0.00   17.00     4  two_node_pipeli
01:12:04 PM  1000    165731   12.00    3.00    0.00    1.00   15.00     6  two_node_pipeli
01:12:05 PM  1000    165731   10.00    6.00    0.00    1.00   16.00     5  two_node_pipeli
01:12:06 PM  1000    165731   15.00    0.00    0.00    0.00   15.00    11  two_node_pipeli
01:12:07 PM  1000    165731   11.00    5.00    0.00    1.00   16.00    11  two_node_pipeli
01:12:08 PM  1000    165731   13.00    1.00    0.00    1.00   14.00     6  two_node_pipeli
01:12:09 PM  1000    165731   11.00    4.00    0.00    0.00   15.00     5  two_node_pipeli
01:12:10 PM  1000    165731   13.00    2.00    0.00    1.00   15.00     7  two_node_pipeli
01:12:11 PM  1000    165731   13.00    5.00    0.00    1.00   18.00     7  two_node_pipeli
01:12:12 PM  1000    165731   14.00    1.00    0.00    1.00   15.00     9  two_node_pipeli
01:12:13 PM  1000    165731   10.00    6.00    0.00    0.00   16.00     9  two_node_pipeli
01:12:14 PM  1000    165731   15.00    4.00    0.00    1.00   19.00     6  two_node_pipeli
01:12:15 PM  1000    165731   14.00    2.00    0.00    1.00   16.00     8  two_node_pipeli
01:12:16 PM  1000    165731    8.00    5.00    0.00    1.00   13.00     5  two_node_pipeli
01:12:17 PM  1000    165731   10.00    6.00    0.00    0.00   16.00     6  two_node_pipeli
01:12:18 PM  1000    165731    9.00   10.00    0.00    1.00   19.00    11  two_node_pipeli
01:12:19 PM  1000    165731    8.00    8.00    0.00    1.00   16.00     8  two_node_pipeli
01:12:20 PM  1000    165731   12.00    3.00    0.00    0.00   15.00     8  two_node_pipeli
01:12:21 PM  1000    165731    8.00    7.00    0.00    1.00   15.00    11  two_node_pipeli
01:12:22 PM  1000    165731   10.00    8.00    0.00    1.00   18.00     6  two_node_pipeli
01:12:23 PM  1000    165731   12.00    4.00    0.00    1.00   16.00     8  two_node_pipeli
01:12:24 PM  1000    165731   12.00    3.00    0.00    1.00   15.00     8  two_node_pipeli
01:12:25 PM  1000    165731   13.00    3.00    0.00    0.00   16.00     9  two_node_pipeli
01:12:26 PM  1000    165731   12.00    2.00    0.00    1.00   14.00     9  two_node_pipeli
01:12:27 PM  1000    165731   14.00    4.00    0.00    0.00   18.00     7  two_node_pipeli
01:12:28 PM  1000    165731   12.00    2.00    0.00    1.00   14.00     4  two_node_pipeli
01:12:29 PM  1000    165731   17.00    1.00    0.00    1.00   18.00    10  two_node_pipeli
01:12:30 PM  1000    165731   10.00    5.00    0.00    1.00   15.00     9  two_node_pipeli
01:12:31 PM  1000    165731   16.00    3.00    0.00    1.00   19.00     8  two_node_pipeli
01:12:32 PM  1000    165731   12.00    3.00    0.00    0.00   15.00     7  two_node_pipeli
01:12:33 PM  1000    165731   13.00    4.00    0.00    1.00   17.00     6  two_node_pipeli
01:12:34 PM  1000    165731   13.00    4.00    0.00    1.00   17.00     4  two_node_pipeli
01:12:35 PM  1000    165731   10.00    4.00    0.00    1.00   14.00     8  two_node_pipeli
01:12:36 PM  1000    165731    9.00    6.00    0.00    1.00   15.00     5  two_node_pipeli
01:12:37 PM  1000    165731   11.00    6.00    0.00    1.00   17.00     4  two_node_pipeli
01:12:38 PM  1000    165731   13.00    3.00    0.00    1.00   16.00     8  two_node_pipeli
01:12:39 PM  1000    165731   10.00    7.00    0.00    0.00   17.00     9  two_node_pipeli
01:12:40 PM  1000    165731   14.00    1.00    0.00    1.00   15.00     4  two_node_pipeli
01:12:41 PM  1000    165731   13.00    3.00    0.00    1.00   16.00     5  two_node_pipeli
01:12:42 PM  1000    165731   11.00    5.00    0.00    1.00   16.00    10  two_node_pipeli
