Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

05:32:17 PM   UID       PID   cswch/s nvcswch/s  Command
05:32:18 PM  1000     27228     39.60      0.00  two_node_pipeli
05:32:18 PM  1000     27241     42.57      0.00  two_node_pipeli
05:32:18 PM  1000     27236     37.62      0.00  two_node_pipeli
05:32:18 PM  1000     27226     60.40      0.00  two_node_pipeli
05:32:18 PM  1000     27237     38.61      0.00  two_node_pipeli
05:32:18 PM  1000     27234     36.63      0.00  two_node_pipeli
05:32:18 PM  1000     27233     33.66      0.00  two_node_pipeli
05:32:18 PM  1000     27215     58.42      0.00  two_node_pipeli
05:32:18 PM  1000     27235     35.64      0.00  two_node_pipeli
05:32:18 PM  1000     27231     32.67      0.00  two_node_pipeli
05:32:18 PM  1000     27239     44.55      0.00  two_node_pipeli
05:32:18 PM  1000     27225     60.40      0.00  two_node_pipeli
05:32:18 PM  1000     27230     44.55      0.00  two_node_pipeli
05:32:18 PM  1000     27229     41.58      0.00  two_node_pipeli
05:32:18 PM  1000     27227     60.40      0.00  two_node_pipeli
05:32:18 PM  1000     27232     38.61      0.00  two_node_pipeli

05:32:18 PM   UID       PID   cswch/s nvcswch/s  Command
05:32:19 PM  1000     27228     37.00      0.00  two_node_pipeli
05:32:19 PM  1000     27241     42.00      0.00  two_node_pipeli
05:32:19 PM  1000     27236     37.00      0.00  two_node_pipeli
05:32:19 PM  1000     27226     58.00      1.00  two_node_pipeli
05:32:19 PM  1000     27237     45.00      0.00  two_node_pipeli
05:32:19 PM  1000     27234     36.00      0.00  two_node_pipeli
05:32:19 PM  1000     27233     41.00      0.00  two_node_pipeli
05:32:19 PM  1000     27215     54.00      1.00  two_node_pipeli
05:32:19 PM  1000     27235     38.00      0.00  two_node_pipeli
05:32:19 PM  1000     27231     41.00      0.00  two_node_pipeli
05:32:19 PM  1000     27239     42.00      1.00  two_node_pipeli
05:32:19 PM  1000     27225     52.00      0.00  two_node_pipeli
05:32:19 PM  1000     27230     40.00      0.00  two_node_pipeli
05:32:19 PM  1000     27229     37.00      0.00  two_node_pipeli
05:32:19 PM  1000     27227     59.00      0.00  two_node_pipeli
