Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

06:04:15 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:04:16 PM  1000     17667  326.00    9.00    0.00    9.00  335.00    10  two_node_pipeli
06:04:17 PM  1000     17667  319.00    9.00    0.00    9.00  328.00     6  two_node_pipeli
06:04:18 PM  1000     17667  323.00    8.00    0.00   13.00  331.00     5  two_node_pipeli
06:04:19 PM  1000     17667  319.00   11.00    0.00    9.00  330.00     4  two_node_pipeli
06:04:20 PM  1000     17667  322.00    8.00    0.00    7.00  330.00     4  two_node_pipeli
06:04:21 PM  1000     17667   88.00    1.00    0.00    1.00   89.00     9  two_node_pipeli
06:04:23 PM  1000     17667  178.87    4.23    0.00    6.57  183.10    11  two_node_pipeli
06:04:24 PM  1000     17667  322.00    8.00    0.00    9.00  330.00     5  two_node_pipeli
06:04:25 PM  1000     17667  326.00    7.00    0.00   11.00  333.00     9  two_node_pipeli
06:04:26 PM  1000     17667  326.00    5.00    0.00   10.00  331.00     4  two_node_pipeli
06:04:27 PM  1000     17667  326.00    5.00    0.00    8.00  331.00     6  two_node_pipeli
06:04:28 PM  1000     17667  326.00    5.00    0.00   11.00  331.00    10  two_node_pipeli
06:04:29 PM  1000     17667  326.00    6.00    0.00    7.00  332.00    10  two_node_pipeli
06:04:30 PM  1000     17667  326.00    5.00    0.00   12.00  331.00     9  two_node_pipeli
06:04:31 PM  1000     17667  326.00    5.00    0.00   10.00  331.00     4  two_node_pipeli
06:04:32 PM  1000     17667  328.00    4.00    0.00    9.00  332.00    10  two_node_pipeli
06:04:33 PM  1000     17667  328.00    4.00    0.00   10.00  332.00     8  two_node_pipeli
06:04:34 PM  1000     17667  328.00    4.00    0.00   13.00  332.00     6  two_node_pipeli
06:04:35 PM  1000     17667  329.00    5.00    0.00   10.00  334.00     7  two_node_pipeli
06:04:36 PM  1000     17667  324.00    4.00    0.00   14.00  328.00     7  two_node_pipeli
06:04:37 PM  1000     17667  322.00   11.00    0.00   10.00  333.00     7  two_node_pipeli
06:04:38 PM  1000     17667  321.00    8.00    0.00   13.00  329.00    11  two_node_pipeli
06:04:39 PM  1000     17667  320.00   10.00    0.00    6.00  330.00     6  two_node_pipeli
06:04:40 PM  1000     17667  320.00   10.00    0.00   10.00  330.00     5  two_node_pipeli
06:04:41 PM  1000     17667  321.00    8.00    0.00    9.00  329.00     8  two_node_pipeli
06:04:42 PM  1000     17667  321.00    9.00    0.00    7.00  330.00     9  two_node_pipeli
06:04:43 PM  1000     17667  322.00    8.00    0.00    8.00  330.00     7  two_node_pipeli
06:04:44 PM  1000     17667  320.00    9.00    0.00   10.00  329.00     4  two_node_pipeli
06:04:45 PM  1000     17667  322.00    8.00    0.00    9.00  330.00    10  two_node_pipeli
06:04:46 PM  1000     17667  322.00    7.00    0.00   10.00  329.00     5  two_node_pipeli
06:04:47 PM  1000     17667  322.00    7.00    0.00    7.00  329.00     8  two_node_pipeli
06:04:48 PM  1000     17667  325.00    5.00    0.00   12.00  330.00     8  two_node_pipeli
06:04:49 PM  1000     17667  324.00    6.00    0.00    8.00  330.00    11  two_node_pipeli
06:04:50 PM  1000     17667  325.00    4.00    0.00    9.00  329.00     9  two_node_pipeli
06:04:51 PM  1000     17667  324.00    5.00    0.00   10.00  329.00     9  two_node_pipeli
06:04:52 PM  1000     17667  325.00    5.00    0.00   10.00  330.00     9  two_node_pipeli
06:04:53 PM  1000     17667  325.00    5.00    0.00   11.00  330.00    11  two_node_pipeli
06:04:54 PM  1000     17667  329.00    1.00    0.00    9.00  330.00    11  two_node_pipeli
06:04:55 PM  1000     17667  324.00    5.00    0.00   11.00  329.00     9  two_node_pipeli
06:04:56 PM  1000     17667  325.00    5.00    0.00   10.00  330.00     7  two_node_pipeli
06:04:57 PM  1000     17667  325.00    4.00    0.00   11.00  329.00     4  two_node_pipeli
06:04:58 PM  1000     17667  327.00    3.00    0.00    9.00  330.00     6  two_node_pipeli
06:04:59 PM  1000     17667  324.00    5.00    0.00    9.00  329.00     4  two_node_pipeli
06:05:00 PM  1000     17667  324.00    6.00    0.00   11.00  330.00     5  two_node_pipeli
06:05:01 PM  1000     17667  325.00    4.00    0.00    9.00  329.00     5  two_node_pipeli
06:05:02 PM  1000     17667  326.00    4.00    0.00    7.00  330.00    11  two_node_pipeli
06:05:03 PM  1000     17667  325.00    4.00    0.00   11.00  329.00    10  two_node_pipeli
06:05:04 PM  1000     17667  325.00    4.00    0.00    9.00  329.00    10  two_node_pipeli
06:05:05 PM  1000     17667  325.00    5.00    0.00   11.00  330.00    11  two_node_pipeli
06:05:06 PM  1000     17667  325.00    4.00    0.00    8.00  329.00    11  two_node_pipeli
06:05:07 PM  1000     17667  327.00    3.00    0.00   11.00  330.00     5  two_node_pipeli
06:05:08 PM  1000     17667  325.00    5.00    0.00    8.00  330.00     8  two_node_pipeli
06:05:09 PM  1000     17667  326.00    2.00    0.00   10.00  328.00    11  two_node_pipeli
06:05:10 PM  1000     17667  327.00    3.00    0.00   13.00  330.00    11  two_node_pipeli
06:05:11 PM  1000     17667  326.00    3.00    0.00   12.00  329.00     9  two_node_pipeli
06:05:12 PM  1000     17667  327.00    2.00    0.00    8.00  329.00     6  two_node_pipeli
06:05:13 PM  1000     17667  324.00    5.00    0.00    8.00  329.00     7  two_node_pipeli
06:05:14 PM  1000     17667  327.00    2.00    0.00    8.00  329.00    10  two_node_pipeli
06:05:15 PM  1000     17667  329.00    1.00    0.00    7.00  330.00    11  two_node_pipeli
06:05:16 PM  1000     17667  328.00    2.00    0.00    9.00  330.00     8  two_node_pipeli
06:05:17 PM  1000     17667  329.00    0.00    0.00   11.00  329.00     8  two_node_pipeli
06:05:18 PM  1000     17667  328.00    1.00    0.00   11.00  329.00     6  two_node_pipeli
06:05:19 PM  1000     17667  329.00    1.00    0.00    9.00  330.00     8  two_node_pipeli
06:05:20 PM  1000     17667  329.00    0.00    0.00    9.00  329.00     8  two_node_pipeli
06:05:21 PM  1000     17667  329.00    1.00    0.00   12.00  330.00     4  two_node_pipeli
06:05:22 PM  1000     17667  328.00    0.00    0.00   11.00  328.00    11  two_node_pipeli
06:05:23 PM  1000     17667  330.00    1.00    0.00    9.00  331.00     7  two_node_pipeli
06:05:24 PM  1000     17667  329.00    0.00    0.00   13.00  329.00     9  two_node_pipeli
06:05:25 PM  1000     17667  329.00    1.00    0.00   10.00  330.00    11  two_node_pipeli
06:05:26 PM  1000     17667  328.00    1.00    0.00   11.00  329.00    10  two_node_pipeli
06:05:27 PM  1000     17667  331.00    0.00    0.00   11.00  331.00     5  two_node_pipeli
06:05:28 PM  1000     17667  328.00    2.00    0.00    8.00  330.00     5  two_node_pipeli
06:05:29 PM  1000     17667  329.00    0.00    0.00   12.00  329.00    11  two_node_pipeli
06:05:30 PM  1000     17667  330.00    1.00    0.00    6.00  331.00     6  two_node_pipeli
06:05:31 PM  1000     17667  329.00    0.00    0.00    9.00  329.00     7  two_node_pipeli
06:05:32 PM  1000     17667  329.00    1.00    0.00   11.00  330.00     8  two_node_pipeli
06:05:33 PM  1000     17667  330.00    1.00    0.00   10.00  331.00     9  two_node_pipeli
06:05:34 PM  1000     17667  331.00    1.00    0.00   10.00  332.00    10  two_node_pipeli
06:05:35 PM  1000     17667  330.00    1.00    0.00   10.00  331.00     5  two_node_pipeli
06:05:36 PM  1000     17667  329.00    1.00    0.00   10.00  330.00     7  two_node_pipeli
06:05:37 PM  1000     17667  328.00    0.00    0.00   10.00  328.00    10  two_node_pipeli
06:05:38 PM  1000     17667  330.00    0.00    0.00   12.00  330.00     8  two_node_pipeli
06:05:39 PM  1000     17667  330.00    0.00    0.00    8.00  330.00     4  two_node_pipeli
06:05:40 PM  1000     17667  329.00    0.00    0.00    8.00  329.00     4  two_node_pipeli
06:05:41 PM  1000     17667  331.00    1.00    0.00    9.00  332.00     7  two_node_pipeli
06:05:42 PM  1000     17667  330.00    0.00    0.00   10.00  330.00     8  two_node_pipeli
06:05:43 PM  1000     17667  331.00    1.00    0.00    9.00  332.00    10  two_node_pipeli
06:05:44 PM  1000     17667  330.00    0.00    0.00    9.00  330.00     6  two_node_pipeli
06:05:45 PM  1000     17667  329.00    0.00    0.00   10.00  329.00     5  two_node_pipeli
06:05:46 PM  1000     17667  329.00    0.00    0.00    8.00  329.00     8  two_node_pipeli
06:05:47 PM  1000     17667  329.00    0.00    0.00   11.00  329.00     9  two_node_pipeli
06:05:48 PM  1000     17667  329.00    0.00    0.00   10.00  329.00     7  two_node_pipeli
06:05:49 PM  1000     17667  330.00    0.00    0.00    8.00  330.00     8  two_node_pipeli
06:05:50 PM  1000     17667  331.00    0.00    0.00    7.00  331.00     6  two_node_pipeli
06:05:51 PM  1000     17667  331.00    0.00    0.00   13.00  331.00     4  two_node_pipeli
06:05:52 PM  1000     17667  331.00    1.00    0.00    9.00  332.00     6  two_node_pipeli
06:05:53 PM  1000     17667  330.00    0.00    0.00   11.00  330.00     8  two_node_pipeli
06:05:54 PM  1000     17667  330.00    1.00    0.00   10.00  331.00    10  two_node_pipeli
06:05:55 PM  1000     17667  328.00    1.00    0.00   12.00  329.00     5  two_node_pipeli
06:05:56 PM  1000     17667  330.00    0.00    0.00    8.00  330.00     5  two_node_pipeli
Average:     1000     17667  321.12    3.44    0.00    9.58  324.56     -  two_node_pipeli
