Linux 5.10.216-tegra (neu-desktop) 	11/04/2024 	_aarch64_	(12 CPU)

08:41:41 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:41:42 PM  1000     80523    6.00    1.00    0.00    1.00    7.00     4  two_node_pipeli
08:41:43 PM  1000     80523    5.00    3.00    0.00    0.00    8.00     6  two_node_pipeli
08:41:44 PM  1000     80523    5.00    2.00    0.00    1.00    7.00     4  two_node_pipeli
08:41:45 PM  1000     80523    6.00    2.00    0.00    1.00    8.00     4  two_node_pipeli
08:41:46 PM  1000     80523    5.00    2.00    0.00    1.00    7.00     7  two_node_pipeli
08:41:47 PM  1000     80523    3.00    4.00    0.00    1.00    7.00     7  two_node_pipeli
08:41:48 PM  1000     80523    7.00    3.00    0.00    0.00   10.00     5  two_node_pipeli
08:41:49 PM  1000     80523    7.00    3.00    0.00    1.00   10.00     5  two_node_pipeli
08:41:50 PM  1000     80523    7.00    3.00    0.00    2.00   10.00     7  two_node_pipeli
08:41:51 PM  1000     80523    5.00    3.00    0.00    0.00    8.00     6  two_node_pipeli
08:41:52 PM  1000     80523    8.00    3.00    0.00    2.00   11.00     4  two_node_pipeli
08:41:53 PM  1000     80523    6.00    4.00    0.00    1.00   10.00     4  two_node_pipeli
08:41:54 PM  1000     80523    5.00    4.00    0.00    1.00    9.00     6  two_node_pipeli
08:41:55 PM  1000     80523    7.00    2.00    0.00    0.00    9.00     5  two_node_pipeli
08:41:56 PM  1000     80523    8.00    4.00    0.00    1.00   12.00     4  two_node_pipeli
08:41:57 PM  1000     80523    7.00    4.00    0.00    2.00   11.00     7  two_node_pipeli
08:41:58 PM  1000     80523    5.00    3.00    0.00    1.00    8.00     7  two_node_pipeli
08:41:59 PM  1000     80523    4.00    2.00    0.00    0.00    6.00     4  two_node_pipeli
08:42:00 PM  1000     80523    7.00    1.00    0.00    1.00    8.00     5  two_node_pipeli
08:42:01 PM  1000     80523    2.00    8.00    0.00    1.00   10.00     6  two_node_pipeli
08:42:02 PM  1000     80523    7.00    1.00    0.00    1.00    8.00     6  two_node_pipeli
08:42:03 PM  1000     80523    5.00    2.00    0.00    0.00    7.00     5  two_node_pipeli
08:42:04 PM  1000     80523    6.00    2.00    0.00    1.00    8.00     5  two_node_pipeli
08:42:05 PM  1000     80523    5.00    4.00    0.00    1.00    9.00     5  two_node_pipeli
08:42:06 PM  1000     80523    3.00    5.00    0.00    1.00    8.00     4  two_node_pipeli
08:42:07 PM  1000     80523    3.00    5.00    0.00    1.00    8.00     7  two_node_pipeli
08:42:08 PM  1000     80523    3.00    6.00    0.00    0.00    9.00     5  two_node_pipeli
