Linux 5.10.216-tegra (neu-desktop) 	11/04/2024 	_aarch64_	(12 CPU)

08:42:18 PM   UID       PID   cswch/s nvcswch/s  Command
08:42:19 PM  1000     80545     59.00      0.00  two_node_pipeli
08:42:19 PM  1000     80541     62.00      0.00  two_node_pipeli
08:42:19 PM  1000     80540     65.00      0.00  two_node_pipeli
08:42:19 PM  1000     80534     81.00      0.00  two_node_pipeli
08:42:19 PM  1000     80523     83.00      0.00  two_node_pipeli
08:42:19 PM  1000     80533     79.00      0.00  two_node_pipeli
08:42:19 PM  1000     80539     61.00      0.00  two_node_pipeli
08:42:19 PM  1000     80544     60.00      0.00  two_node_pipeli
08:42:19 PM  1000     80538     55.00      0.00  two_node_pipeli
08:42:19 PM  1000     80547     62.00      0.00  two_node_pipeli
08:42:19 PM  1000     80542     61.00      0.00  two_node_pipeli
08:42:19 PM  1000     80536     81.00      0.00  two_node_pipeli
08:42:19 PM  1000     80537     61.00      0.00  two_node_pipeli
08:42:19 PM  1000     80543     58.00      0.00  two_node_pipeli
08:42:19 PM  1000     80535     60.00      0.00  two_node_pipeli
08:42:19 PM  1000     80546     58.00      0.00  two_node_pipeli

08:42:19 PM   UID       PID   cswch/s nvcswch/s  Command
08:42:20 PM  1000     80545     60.00      0.00  two_node_pipeli
08:42:20 PM  1000     80541     64.00      0.00  two_node_pipeli
08:42:20 PM  1000     80540     61.00      0.00  two_node_pipeli
08:42:20 PM  1000     80534     73.00      0.00  two_node_pipeli
08:42:20 PM  1000     80523     75.00      0.00  two_node_pipeli
08:42:20 PM  1000     80533     78.00      0.00  two_node_pipeli
08:42:20 PM  1000     80539     65.00      0.00  two_node_pipeli
08:42:20 PM  1000     80544     63.00      0.00  two_node_pipeli
08:42:20 PM  1000     80538     64.00      0.00  two_node_pipeli
08:42:20 PM  1000     80547     59.00      0.00  two_node_pipeli
08:42:20 PM  1000     80542     61.00      0.00  two_node_pipeli
08:42:20 PM  1000     80536     81.00      0.00  two_node_pipeli
08:42:20 PM  1000     80537     59.00      0.00  two_node_pipeli
08:42:20 PM  1000     80543     62.00      0.00  two_node_pipeli
08:42:20 PM  1000     80535     65.00      0.00  two_node_pipeli
08:42:20 PM  1000     80546     58.00      0.00  two_node_pipeli

08:42:20 PM   UID       PID   cswch/s nvcswch/s  Command
08:42:21 PM  1000     80545     60.00      0.00  two_node_pipeli
08:42:21 PM  1000     80541     62.00      0.00  two_node_pipeli
08:42:21 PM  1000     80540     60.00      0.00  two_node_pipeli
08:42:21 PM  1000     80534     74.00      0.00  two_node_pipeli
08:42:21 PM  1000     80523     78.00      0.00  two_node_pipeli
08:42:21 PM  1000     80533     84.00      0.00  two_node_pipeli
08:42:21 PM  1000     80539     63.00      0.00  two_node_pipeli
08:42:21 PM  1000     80544     56.00      0.00  two_node_pipeli
08:42:21 PM  1000     80538     66.00      0.00  two_node_pipeli
08:42:21 PM  1000     80547     61.00      0.00  two_node_pipeli
08:42:21 PM  1000     80542     62.00      0.00  two_node_pipeli
08:42:21 PM  1000     80536     73.00      0.00  two_node_pipeli
08:42:21 PM  1000     80537     63.00      0.00  two_node_pipeli
08:42:21 PM  1000     80543     61.00      0.00  two_node_pipeli
08:42:21 PM  1000     80535     60.00      0.00  two_node_pipeli
08:42:21 PM  1000     80546     61.00      0.00  two_node_pipeli

08:42:21 PM   UID       PID   cswch/s nvcswch/s  Command
08:42:22 PM  1000     80545     63.00      0.00  two_node_pipeli
08:42:22 PM  1000     80541     61.00      0.00  two_node_pipeli
08:42:22 PM  1000     80540     60.00      0.00  two_node_pipeli
08:42:22 PM  1000     80534     80.00      0.00  two_node_pipeli
08:42:22 PM  1000     80523     85.00      0.00  two_node_pipeli
08:42:22 PM  1000     80533     79.00      0.00  two_node_pipeli
