Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

07:08:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:08:25 PM  1000     40500    0.00    2.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:26 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:27 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:28 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:29 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:30 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:31 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:32 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:33 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:34 PM  1000     40500    2.00    0.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:35 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:36 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:37 PM  1000     40500    1.00    2.00    0.00    0.00    3.00     5  two_node_pipeli
07:08:38 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:39 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:40 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:41 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:42 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:43 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:44 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:45 PM  1000     40500    0.00    2.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:46 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:47 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:48 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:49 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:50 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:51 PM  1000     40500    0.00    1.00    0.00    0.00    1.00     5  two_node_pipeli
07:08:52 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:53 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:54 PM  1000     40500    2.00    0.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:55 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:56 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:57 PM  1000     40500    0.99    0.99    0.00    0.00    1.98     5  two_node_pipeli
07:08:58 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:08:59 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:00 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:01 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:02 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:03 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:04 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:05 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:06 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:07 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:08 PM  1000     40500    1.00    0.00    0.00    0.00    1.00     5  two_node_pipeli
07:09:09 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:10 PM  1000     40500    3.00    0.00    0.00    0.00    3.00     5  two_node_pipeli
07:09:11 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:12 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:13 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:14 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:15 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:16 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:17 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:18 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:19 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:20 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:21 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:22 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:23 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
07:09:24 PM  1000     40500    1.00    1.00    0.00    0.00    2.00     5  two_node_pipeli
