Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

07:25:56 PM   UID       PID   cswch/s nvcswch/s  Command
07:25:57 PM  1000     51771     12.00      0.00  two_node_pipeli
07:25:57 PM  1000     51773     11.00      0.00  two_node_pipeli
07:25:57 PM  1000     51772     12.00      0.00  two_node_pipeli
07:25:57 PM  1000     51761     12.00      0.00  two_node_pipeli

07:25:57 PM   UID       PID   cswch/s nvcswch/s  Command
07:25:58 PM  1000     51771     11.00      0.00  two_node_pipeli
07:25:58 PM  1000     51773     11.00      0.00  two_node_pipeli
07:25:58 PM  1000     51772     12.00      0.00  two_node_pipeli
07:25:58 PM  1000     51761     12.00      0.00  two_node_pipeli

07:25:58 PM   UID       PID   cswch/s nvcswch/s  Command
07:25:59 PM  1000     51771     13.00      0.00  two_node_pipeli
07:25:59 PM  1000     51773     12.00      0.00  two_node_pipeli
07:25:59 PM  1000     51772     12.00      0.00  two_node_pipeli
07:25:59 PM  1000     51761     12.00      0.00  two_node_pipeli

07:25:59 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:00 PM  1000     51771     12.00      0.00  two_node_pipeli
07:26:00 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:00 PM  1000     51772     13.00      0.00  two_node_pipeli
07:26:00 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:00 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:01 PM  1000     51771     13.00      0.00  two_node_pipeli
07:26:01 PM  1000     51773     12.00      0.00  two_node_pipeli
07:26:01 PM  1000     51772     12.00      0.00  two_node_pipeli
07:26:01 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:01 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:02 PM  1000     51771     12.00      0.00  two_node_pipeli
07:26:02 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:02 PM  1000     51772     13.00      0.00  two_node_pipeli
07:26:02 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:02 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:03 PM  1000     51771     13.00      0.00  two_node_pipeli
07:26:03 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:03 PM  1000     51772     13.00      0.00  two_node_pipeli
07:26:03 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:03 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:04 PM  1000     51771     12.00      0.00  two_node_pipeli
07:26:04 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:04 PM  1000     51772     13.00      0.00  two_node_pipeli
07:26:04 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:04 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:05 PM  1000     51771     13.00      0.00  two_node_pipeli
07:26:05 PM  1000     51773     12.00      0.00  two_node_pipeli
07:26:05 PM  1000     51772     12.00      0.00  two_node_pipeli
07:26:05 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:05 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:06 PM  1000     51771     13.00      0.00  two_node_pipeli
07:26:06 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:06 PM  1000     51772     14.00      0.00  two_node_pipeli
07:26:06 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:06 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:07 PM  1000     51771     12.00      0.00  two_node_pipeli
07:26:07 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:07 PM  1000     51772     12.00      0.00  two_node_pipeli
07:26:07 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:07 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:08 PM  1000     51771     15.00      0.00  two_node_pipeli
07:26:08 PM  1000     51773     14.00      0.00  two_node_pipeli
07:26:08 PM  1000     51772     15.00      0.00  two_node_pipeli
07:26:08 PM  1000     51761     14.00      0.00  two_node_pipeli

07:26:08 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:09 PM  1000     51771     13.00      0.00  two_node_pipeli
07:26:09 PM  1000     51773     12.00      0.00  two_node_pipeli
07:26:09 PM  1000     51772     13.00      0.00  two_node_pipeli
07:26:09 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:09 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:10 PM  1000     51771     12.00      0.00  two_node_pipeli
07:26:10 PM  1000     51773     12.00      0.00  two_node_pipeli
07:26:10 PM  1000     51772     13.00      0.00  two_node_pipeli
07:26:10 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:10 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:11 PM  1000     51771     13.00      0.00  two_node_pipeli
07:26:11 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:11 PM  1000     51772     12.00      0.00  two_node_pipeli
07:26:11 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:11 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:12 PM  1000     51771     12.00      0.00  two_node_pipeli
07:26:12 PM  1000     51773     12.00      0.00  two_node_pipeli
07:26:12 PM  1000     51772     13.00      0.00  two_node_pipeli
07:26:12 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:12 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:13 PM  1000     51771     13.00      0.00  two_node_pipeli
07:26:13 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:13 PM  1000     51772     12.00      0.00  two_node_pipeli
07:26:13 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:13 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:14 PM  1000     51771     13.00      0.00  two_node_pipeli
07:26:14 PM  1000     51773     12.00      0.00  two_node_pipeli
07:26:14 PM  1000     51772     12.00      0.00  two_node_pipeli
07:26:14 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:14 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:15 PM  1000     51771     12.00      0.00  two_node_pipeli
07:26:15 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:15 PM  1000     51772     13.00      0.00  two_node_pipeli
07:26:15 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:15 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:16 PM  1000     51771     14.00      0.00  two_node_pipeli
07:26:16 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:16 PM  1000     51772     11.00      0.00  two_node_pipeli
07:26:16 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:16 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:17 PM  1000     51771     10.00      0.00  two_node_pipeli
07:26:17 PM  1000     51773     14.00      0.00  two_node_pipeli
07:26:17 PM  1000     51772     12.00      0.00  two_node_pipeli
07:26:17 PM  1000     51761     12.00      0.00  two_node_pipeli

07:26:17 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:18 PM  1000     51771     10.00      0.00  two_node_pipeli
07:26:18 PM  1000     51773     13.00      0.00  two_node_pipeli
07:26:18 PM  1000     51772     11.00      0.00  two_node_pipeli
07:26:18 PM  1000     51761     13.00      0.00  two_node_pipeli

07:26:18 PM   UID       PID   cswch/s nvcswch/s  Command
07:26:19 PM  1000     51771     10.00      0.00  two_node_pipeli
