Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

04:49:53 PM   UID       PID   cswch/s nvcswch/s  Command
04:49:54 PM  1000    277375     18.00      0.00  two_node_pipeli
04:49:54 PM  1000    277374     38.00      0.00  two_node_pipeli
04:49:54 PM  1000    277378     15.00      0.00  two_node_pipeli
04:49:54 PM  1000    277385     17.00      0.00  two_node_pipeli
04:49:54 PM  1000    277377     14.00      0.00  two_node_pipeli
04:49:54 PM  1000    277370     35.00      0.00  two_node_pipeli
04:49:54 PM  1000    277380     17.00      0.00  two_node_pipeli
04:49:54 PM  1000    277372     18.00      0.00  two_node_pipeli
04:49:54 PM  1000    277390     16.00      0.00  two_node_pipeli
04:49:54 PM  1000    277371     30.00      0.00  two_node_pipeli
04:49:54 PM  1000    277381     13.00      0.00  two_node_pipeli
04:49:54 PM  1000    277384     17.00      0.00  two_node_pipeli
04:49:54 PM  1000    277379     13.00      0.00  two_node_pipeli
04:49:54 PM  1000    277376     20.00      0.00  two_node_pipeli
04:49:54 PM  1000    277373     21.00      0.00  two_node_pipeli
04:49:54 PM  1000    277360     30.00      0.00  two_node_pipeli

04:49:54 PM   UID       PID   cswch/s nvcswch/s  Command
04:49:55 PM  1000    277375     17.00      0.00  two_node_pipeli
04:49:55 PM  1000    277374     33.00      0.00  two_node_pipeli
04:49:55 PM  1000    277378     17.00      0.00  two_node_pipeli
04:49:55 PM  1000    277385     15.00      0.00  two_node_pipeli
04:49:55 PM  1000    277377     16.00      0.00  two_node_pipeli
04:49:55 PM  1000    277370     33.00      0.00  two_node_pipeli
04:49:55 PM  1000    277380     20.00      0.00  two_node_pipeli
04:49:55 PM  1000    277372     18.00      0.00  two_node_pipeli
04:49:55 PM  1000    277390     15.00      0.00  two_node_pipeli
04:49:55 PM  1000    277371     39.00      0.00  two_node_pipeli
04:49:55 PM  1000    277381     17.00      0.00  two_node_pipeli
04:49:55 PM  1000    277384     15.00      0.00  two_node_pipeli
04:49:55 PM  1000    277379     17.00      0.00  two_node_pipeli
04:49:55 PM  1000    277376     15.00      0.00  two_node_pipeli
04:49:55 PM  1000    277373     17.00      0.00  two_node_pipeli
04:49:55 PM  1000    277360     33.00      0.00  two_node_pipeli

04:49:55 PM   UID       PID   cswch/s nvcswch/s  Command
04:49:56 PM  1000    277375     17.00      0.00  two_node_pipeli
04:49:56 PM  1000    277374     33.00      0.00  two_node_pipeli
04:49:56 PM  1000    277378     15.00      0.00  two_node_pipeli
04:49:56 PM  1000    277385     17.00      1.00  two_node_pipeli
04:49:56 PM  1000    277377     20.00      0.00  two_node_pipeli
04:49:56 PM  1000    277370     36.00      0.00  two_node_pipeli
04:49:56 PM  1000    277380     17.00      0.00  two_node_pipeli
04:49:56 PM  1000    277372     14.00      0.00  two_node_pipeli
04:49:56 PM  1000    277390     18.00      0.00  two_node_pipeli
04:49:56 PM  1000    277371     32.00      0.00  two_node_pipeli
04:49:56 PM  1000    277381     17.00      0.00  two_node_pipeli
04:49:56 PM  1000    277384     19.00      0.00  two_node_pipeli
04:49:56 PM  1000    277379     17.00      0.00  two_node_pipeli
04:49:56 PM  1000    277376     14.00      0.00  two_node_pipeli
04:49:56 PM  1000    277373     12.00      0.00  two_node_pipeli
04:49:56 PM  1000    277360     34.00      0.00  two_node_pipeli

04:49:56 PM   UID       PID   cswch/s nvcswch/s  Command
04:49:57 PM  1000    277375     16.83      0.00  two_node_pipeli
04:49:57 PM  1000    277374     31.68      0.00  two_node_pipeli
04:49:57 PM  1000    277378     15.84      0.00  two_node_pipeli
04:49:57 PM  1000    277385     15.84      0.00  two_node_pipeli
04:49:57 PM  1000    277377     12.87      0.00  two_node_pipeli
04:49:57 PM  1000    277370     32.67      0.00  two_node_pipeli
04:49:57 PM  1000    277380     16.83      0.00  two_node_pipeli
04:49:57 PM  1000    277372     18.81      0.00  two_node_pipeli
04:49:57 PM  1000    277390     15.84      0.00  two_node_pipeli
04:49:57 PM  1000    277371     30.69      0.00  two_node_pipeli
04:49:57 PM  1000    277381     15.84      0.00  two_node_pipeli
04:49:57 PM  1000    277384     17.82      0.00  two_node_pipeli
04:49:57 PM  1000    277379     17.82      0.00  two_node_pipeli
04:49:57 PM  1000    277376     17.82      0.00  two_node_pipeli
04:49:57 PM  1000    277373     17.82      0.00  two_node_pipeli
04:49:57 PM  1000    277360     31.68      0.00  two_node_pipeli

04:49:57 PM   UID       PID   cswch/s nvcswch/s  Command
04:49:58 PM  1000    277375     16.00      0.00  two_node_pipeli
04:49:58 PM  1000    277374     34.00      0.00  two_node_pipeli
04:49:58 PM  1000    277378     14.00      0.00  two_node_pipeli
04:49:58 PM  1000    277385     16.00      0.00  two_node_pipeli
04:49:58 PM  1000    277377     18.00      0.00  two_node_pipeli
04:49:58 PM  1000    277370     30.00      0.00  two_node_pipeli
04:49:58 PM  1000    277380     15.00      0.00  two_node_pipeli
04:49:58 PM  1000    277372     16.00      0.00  two_node_pipeli
04:49:58 PM  1000    277390     16.00      0.00  two_node_pipeli
04:49:58 PM  1000    277371     34.00      0.00  two_node_pipeli
04:49:58 PM  1000    277381     17.00      0.00  two_node_pipeli
04:49:58 PM  1000    277384     18.00      0.00  two_node_pipeli
04:49:58 PM  1000    277379     17.00      0.00  two_node_pipeli
04:49:58 PM  1000    277376     18.00      0.00  two_node_pipeli
04:49:58 PM  1000    277373     17.00      0.00  two_node_pipeli
04:49:58 PM  1000    277360     39.00      0.00  two_node_pipeli

04:49:58 PM   UID       PID   cswch/s nvcswch/s  Command
04:49:59 PM  1000    277375     17.00      0.00  two_node_pipeli
04:49:59 PM  1000    277374     33.00      0.00  two_node_pipeli
04:49:59 PM  1000    277378     14.00      0.00  two_node_pipeli
04:49:59 PM  1000    277385     18.00      0.00  two_node_pipeli
04:49:59 PM  1000    277377     16.00      0.00  two_node_pipeli
04:49:59 PM  1000    277370     37.00      0.00  two_node_pipeli
04:49:59 PM  1000    277380     18.00      0.00  two_node_pipeli
04:49:59 PM  1000    277372     17.00      0.00  two_node_pipeli
04:49:59 PM  1000    277390     16.00      0.00  two_node_pipeli
04:49:59 PM  1000    277371     34.00      0.00  two_node_pipeli
04:49:59 PM  1000    277381     17.00      0.00  two_node_pipeli
04:49:59 PM  1000    277384     16.00      0.00  two_node_pipeli
04:49:59 PM  1000    277379     17.00      0.00  two_node_pipeli
04:49:59 PM  1000    277376     17.00      0.00  two_node_pipeli
04:49:59 PM  1000    277373     15.00      0.00  two_node_pipeli
04:49:59 PM  1000    277360     37.00      0.00  two_node_pipeli

04:49:59 PM   UID       PID   cswch/s nvcswch/s  Command
04:50:00 PM  1000    277375     12.00      0.00  two_node_pipeli
04:50:00 PM  1000    277374     34.00      0.00  two_node_pipeli
04:50:00 PM  1000    277378     15.00      0.00  two_node_pipeli
04:50:00 PM  1000    277385     16.00      0.00  two_node_pipeli
04:50:00 PM  1000    277377     17.00      0.00  two_node_pipeli
04:50:00 PM  1000    277370     35.00      1.00  two_node_pipeli
04:50:00 PM  1000    277380     13.00      0.00  two_node_pipeli
04:50:00 PM  1000    277372     18.00      0.00  two_node_pipeli
04:50:00 PM  1000    277390     17.00      0.00  two_node_pipeli
04:50:00 PM  1000    277371     36.00      0.00  two_node_pipeli
04:50:00 PM  1000    277381     17.00      0.00  two_node_pipeli
04:50:00 PM  1000    277384     17.00      0.00  two_node_pipeli
04:50:00 PM  1000    277379     16.00      0.00  two_node_pipeli
04:50:00 PM  1000    277376     19.00      0.00  two_node_pipeli
04:50:00 PM  1000    277373     23.00      0.00  two_node_pipeli
04:50:00 PM  1000    277360     31.00      0.00  two_node_pipeli

04:50:00 PM   UID       PID   cswch/s nvcswch/s  Command
04:50:01 PM  1000    277375     17.00      0.00  two_node_pipeli
04:50:01 PM  1000    277374     30.00      0.00  two_node_pipeli
04:50:01 PM  1000    277378     18.00      0.00  two_node_pipeli
04:50:01 PM  1000    277385     16.00      0.00  two_node_pipeli
04:50:01 PM  1000    277377     18.00      0.00  two_node_pipeli
04:50:01 PM  1000    277370     33.00      0.00  two_node_pipeli
04:50:01 PM  1000    277380     17.00      0.00  two_node_pipeli
04:50:01 PM  1000    277372     17.00      0.00  two_node_pipeli
04:50:01 PM  1000    277390     16.00      0.00  two_node_pipeli
04:50:01 PM  1000    277371     38.00      0.00  two_node_pipeli
04:50:01 PM  1000    277381     16.00      0.00  two_node_pipeli
04:50:01 PM  1000    277384     18.00      0.00  two_node_pipeli
04:50:01 PM  1000    277379     16.00      0.00  two_node_pipeli
04:50:01 PM  1000    277376     14.00      0.00  two_node_pipeli
04:50:01 PM  1000    277373     17.00      0.00  two_node_pipeli
04:50:01 PM  1000    277360     34.00      0.00  two_node_pipeli

04:50:01 PM   UID       PID   cswch/s nvcswch/s  Command
04:50:02 PM  1000    277375     20.00      0.00  two_node_pipeli
04:50:02 PM  1000    277374     34.00      0.00  two_node_pipeli
04:50:02 PM  1000    277378     18.00      0.00  two_node_pipeli
04:50:02 PM  1000    277385     14.00      0.00  two_node_pipeli
04:50:02 PM  1000    277377     16.00      0.00  two_node_pipeli
04:50:02 PM  1000    277370     39.00      0.00  two_node_pipeli
04:50:02 PM  1000    277380     20.00      0.00  two_node_pipeli
04:50:02 PM  1000    277372     17.00      0.00  two_node_pipeli
04:50:02 PM  1000    277390     16.00      0.00  two_node_pipeli
04:50:02 PM  1000    277371     34.00      0.00  two_node_pipeli
04:50:02 PM  1000    277381     15.00      0.00  two_node_pipeli
04:50:02 PM  1000    277384     15.00      0.00  two_node_pipeli
04:50:02 PM  1000    277379     15.00      0.00  two_node_pipeli
04:50:02 PM  1000    277376     15.00      0.00  two_node_pipeli
04:50:02 PM  1000    277373     17.00      0.00  two_node_pipeli
04:50:02 PM  1000    277360     35.00      0.00  two_node_pipeli

04:50:02 PM   UID       PID   cswch/s nvcswch/s  Command
04:50:03 PM  1000    277375     17.00      0.00  two_node_pipeli
04:50:03 PM  1000    277374     32.00      0.00  two_node_pipeli
04:50:03 PM  1000    277378     19.00      0.00  two_node_pipeli
