Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

05:18:35 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:18:36 PM  1000     18665  131.68    0.99    0.00   10.89  132.67     5  two_node_pipeli
05:18:37 PM  1000     18665  132.00    0.00    0.00   11.00  132.00     5  two_node_pipeli
05:18:38 PM  1000     18665  133.00    0.00    0.00   11.00  133.00     5  two_node_pipeli
05:18:39 PM  1000     18665  131.00    1.00    0.00   12.00  132.00     4  two_node_pipeli
05:18:40 PM  1000     18665  132.00    0.00    0.00   10.00  132.00     4  two_node_pipeli
05:18:41 PM  1000     18665  131.00    1.00    0.00   12.00  132.00     4  two_node_pipeli
05:18:42 PM  1000     18665  132.00    0.00    0.00   12.00  132.00     6  two_node_pipeli
05:18:43 PM  1000     18665  132.00    0.00    0.00   12.00  132.00     5  two_node_pipeli
05:18:44 PM  1000     18665  133.00    0.00    0.00   12.00  133.00     7  two_node_pipeli
05:18:45 PM  1000     18665  132.00    0.00    0.00   12.00  132.00     6  two_node_pipeli
05:18:46 PM  1000     18665  132.00    0.00    0.00   12.00  132.00     4  two_node_pipeli
05:18:47 PM  1000     18665  132.00    0.00    0.00   12.00  132.00     5  two_node_pipeli
05:18:48 PM  1000     18665  132.00    0.00    0.00   11.00  132.00     6  two_node_pipeli
05:18:49 PM  1000     18665  132.00    1.00    0.00   11.00  133.00     6  two_node_pipeli
05:18:50 PM  1000     18665  132.00    1.00    0.00   10.00  133.00     4  two_node_pipeli
05:18:51 PM  1000     18665  133.00    0.00    0.00   10.00  133.00     7  two_node_pipeli
05:18:52 PM  1000     18665  131.00    0.00    0.00   12.00  131.00     4  two_node_pipeli
05:18:53 PM  1000     18665  133.00    0.00    0.00   13.00  133.00     7  two_node_pipeli
05:18:54 PM  1000     18665  132.00    0.00    0.00   11.00  132.00     4  two_node_pipeli
05:18:55 PM  1000     18665  132.00    2.00    0.00   11.00  134.00     6  two_node_pipeli
05:18:56 PM  1000     18665  131.00    2.00    0.00   10.00  133.00     6  two_node_pipeli
05:18:57 PM  1000     18665  130.00    2.00    0.00   12.00  132.00     6  two_node_pipeli
05:18:58 PM  1000     18665  133.00    1.00    0.00   11.00  134.00     7  two_node_pipeli
05:18:59 PM  1000     18665  132.00    1.00    0.00   11.00  133.00     6  two_node_pipeli
05:19:00 PM  1000     18665  132.00    1.00    0.00   12.00  133.00     5  two_node_pipeli
05:19:01 PM  1000     18665  131.00    2.00    0.00   11.00  133.00     5  two_node_pipeli
05:19:02 PM  1000     18665  131.00    2.00    0.00   10.00  133.00     7  two_node_pipeli
05:19:03 PM  1000     18665  131.00    2.00    0.00   12.00  133.00     4  two_node_pipeli
05:19:04 PM  1000     18665  133.00    1.00    0.00   10.00  134.00     5  two_node_pipeli
05:19:05 PM  1000     18665  130.00    2.00    0.00   13.00  132.00     7  two_node_pipeli
05:19:06 PM  1000     18665  133.00    0.00    0.00   12.00  133.00     6  two_node_pipeli
05:19:07 PM  1000     18665  133.00    1.00    0.00   11.00  134.00     4  two_node_pipeli
05:19:08 PM  1000     18665  131.00    1.00    0.00   11.00  132.00     5  two_node_pipeli
05:19:09 PM  1000     18665  132.00    2.00    0.00   12.00  134.00     6  two_node_pipeli
05:19:10 PM  1000     18665  131.00    1.00    0.00   12.00  132.00     7  two_node_pipeli
05:19:11 PM  1000     18665  132.00    0.00    0.00   11.00  132.00     5  two_node_pipeli
05:19:12 PM  1000     18665  131.00    2.00    0.00   12.00  133.00     4  two_node_pipeli
05:19:13 PM  1000     18665  132.00    2.00    0.00   11.00  134.00     7  two_node_pipeli
05:19:14 PM  1000     18665  131.00    2.00    0.00   12.00  133.00     4  two_node_pipeli
05:19:15 PM  1000     18665  132.00    1.00    0.00   11.00  133.00     5  two_node_pipeli
05:19:16 PM  1000     18665  131.00    1.00    0.00   13.00  132.00     6  two_node_pipeli
05:19:17 PM  1000     18665  131.00    3.00    0.00   12.00  134.00     4  two_node_pipeli
05:19:18 PM  1000     18665  130.00    3.00    0.00   12.00  133.00     5  two_node_pipeli
05:19:19 PM  1000     18665  132.00    1.00    0.00   10.00  133.00     6  two_node_pipeli
05:19:20 PM  1000     18665  129.00    4.00    0.00   10.00  133.00     4  two_node_pipeli
05:19:21 PM  1000     18665  131.00    1.00    0.00   11.00  132.00     4  two_node_pipeli
05:19:22 PM  1000     18665  130.00    2.00    0.00   11.00  132.00     5  two_node_pipeli
05:19:23 PM  1000     18665  131.00    2.00    0.00   11.00  133.00     7  two_node_pipeli
05:19:24 PM  1000     18665  132.00    1.00    0.00   10.00  133.00     4  two_node_pipeli
05:19:25 PM  1000     18665  131.00    1.00    0.00   11.00  132.00     5  two_node_pipeli
05:19:26 PM  1000     18665  133.00    1.00    0.00   11.00  134.00     6  two_node_pipeli
05:19:27 PM  1000     18665  129.00    3.00    0.00   12.00  132.00     5  two_node_pipeli
05:19:28 PM  1000     18665  131.00    2.00    0.00   12.00  133.00     5  two_node_pipeli
05:19:29 PM  1000     18665  131.00    2.00    0.00   11.00  133.00     4  two_node_pipeli
05:19:30 PM  1000     18665  132.00    1.00    0.00   11.00  133.00     5  two_node_pipeli
05:19:31 PM  1000     18665  132.00    2.00    0.00   14.00  134.00     7  two_node_pipeli
05:19:32 PM  1000     18665  131.00    1.00    0.00   11.00  132.00     7  two_node_pipeli
05:19:33 PM  1000     18665  130.00    3.00    0.00   13.00  133.00     5  two_node_pipeli
05:19:34 PM  1000     18665  132.00    1.00    0.00   12.00  133.00     5  two_node_pipeli
05:19:35 PM  1000     18665  130.00    2.00    0.00   11.00  132.00     5  two_node_pipeli
05:19:36 PM  1000     18665  132.00    2.00    0.00   13.00  134.00     6  two_node_pipeli
05:19:37 PM  1000     18665  132.00    1.00    0.00   11.00  133.00     6  two_node_pipeli
05:19:38 PM  1000     18665  131.00    2.00    0.00   12.00  133.00     5  two_node_pipeli
05:19:39 PM  1000     18665  132.00    2.00    0.00   13.00  134.00     6  two_node_pipeli
05:19:40 PM  1000     18665  131.00    1.00    0.00   12.00  132.00     7  two_node_pipeli
05:19:41 PM  1000     18665  131.00    2.00    0.00   12.00  133.00     5  two_node_pipeli
05:19:42 PM  1000     18665  132.00    1.00    0.00   12.00  133.00     5  two_node_pipeli
05:19:43 PM  1000     18665  130.00    3.00    0.00   12.00  133.00     7  two_node_pipeli
05:19:44 PM  1000     18665  132.00    2.00    0.00   12.00  134.00     4  two_node_pipeli
05:19:45 PM  1000     18665  132.00    2.00    0.00   11.00  134.00     6  two_node_pipeli
05:19:46 PM  1000     18665  131.00    1.00    0.00   12.00  132.00     7  two_node_pipeli
05:19:47 PM  1000     18665  130.00    4.00    0.00   11.00  134.00     4  two_node_pipeli
