Linux 5.10.216-tegra (neu-desktop) 	11/05/2024 	_aarch64_	(12 CPU)

09:27:49 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:27:50 PM  1000     24693  137.00    0.00    0.00    0.00  137.00     7  two_node_pipeli
09:27:51 PM  1000     24693  133.00    0.00    0.00    0.00  133.00     7  two_node_pipeli
09:27:52 PM  1000     24693  135.00    1.00    0.00    0.00  136.00     7  two_node_pipeli
09:27:53 PM  1000     24693  134.00    1.00    0.00    0.00  135.00     7  two_node_pipeli
09:27:54 PM  1000     24693  134.00    1.00    0.00    0.00  135.00     7  two_node_pipeli
09:27:55 PM  1000     24693  133.00    0.00    0.00    0.00  133.00     7  two_node_pipeli
09:27:56 PM  1000     24693  135.00    1.00    0.00    0.00  136.00     7  two_node_pipeli
09:27:57 PM  1000     24693  132.00    1.00    0.00    0.00  133.00     7  two_node_pipeli
09:27:58 PM  1000     24693  131.00    2.00    0.00    0.00  133.00     7  two_node_pipeli
09:27:59 PM  1000     24693  131.00    0.00    0.00    0.00  131.00     7  two_node_pipeli
09:28:00 PM  1000     24693  135.00    1.00    0.00    0.00  136.00     7  two_node_pipeli
09:28:01 PM  1000     24693  133.00    1.00    0.00    0.00  134.00     7  two_node_pipeli
09:28:02 PM  1000     24693  133.00    0.00    0.00    0.00  133.00     7  two_node_pipeli
09:28:03 PM  1000     24693  132.00    1.00    0.00    0.00  133.00     7  two_node_pipeli
09:28:04 PM  1000     24693  134.00    1.00    0.00    0.00  135.00     7  two_node_pipeli
09:28:05 PM  1000     24693  133.00    1.00    0.00    0.00  134.00     7  two_node_pipeli
09:28:06 PM  1000     24693  132.00    2.00    0.00    0.00  134.00     7  two_node_pipeli
09:28:07 PM  1000     24693  132.00    1.00    0.00    0.00  133.00     7  two_node_pipeli
09:28:08 PM  1000     24693  134.00    1.00    0.00    0.00  135.00     7  two_node_pipeli
09:28:09 PM  1000     24693  132.00    1.00    0.00    0.00  133.00     7  two_node_pipeli
09:28:10 PM  1000     24693  128.71    1.98    0.00    0.00  130.69     7  two_node_pipeli
09:28:11 PM  1000     24693  131.00    2.00    0.00    0.00  133.00     7  two_node_pipeli
09:28:12 PM  1000     24693  134.00    1.00    0.00    0.00  135.00     7  two_node_pipeli
09:28:13 PM  1000     24693  134.00    1.00    0.00    0.00  135.00     7  two_node_pipeli
09:28:14 PM  1000     24693  132.00    2.00    0.00    0.00  134.00     7  two_node_pipeli
09:28:15 PM  1000     24693  132.00    1.00    0.00    0.00  133.00     7  two_node_pipeli
09:28:16 PM  1000     24693  134.00    2.00    0.00    0.00  136.00     7  two_node_pipeli
09:28:17 PM  1000     24693  133.00    1.00    0.00    0.00  134.00     7  two_node_pipeli
