Linux 5.10.216-tegra (neu-desktop) 	11/06/2024 	_aarch64_	(12 CPU)

10:04:03 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:04 AM  1000     19941     82.00      0.00  two_node_pipeli
10:04:04 AM  1000     19952     72.00      0.00  two_node_pipeli
10:04:04 AM  1000     19953     74.00      0.00  two_node_pipeli
10:04:04 AM  1000     19951     75.00      0.00  two_node_pipeli

10:04:04 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:05 AM  1000     19941     65.00      0.00  two_node_pipeli
10:04:05 AM  1000     19952     70.00      0.00  two_node_pipeli
10:04:05 AM  1000     19953     80.00      0.00  two_node_pipeli
10:04:05 AM  1000     19951     73.00      0.00  two_node_pipeli

10:04:05 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:06 AM  1000     19941     68.00      1.00  two_node_pipeli
10:04:06 AM  1000     19952     65.00      0.00  two_node_pipeli
10:04:06 AM  1000     19953     76.00      0.00  two_node_pipeli
10:04:06 AM  1000     19951     80.00      0.00  two_node_pipeli

10:04:06 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:07 AM  1000     19941     72.00      0.00  two_node_pipeli
10:04:07 AM  1000     19952     85.00      1.00  two_node_pipeli
10:04:07 AM  1000     19953     68.00      0.00  two_node_pipeli
10:04:07 AM  1000     19951     76.00      0.00  two_node_pipeli

10:04:07 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:08 AM  1000     19941     66.00      0.00  two_node_pipeli
10:04:08 AM  1000     19952     67.00      0.00  two_node_pipeli
10:04:08 AM  1000     19953     73.00      0.00  two_node_pipeli
10:04:08 AM  1000     19951     76.00      0.00  two_node_pipeli

10:04:08 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:09 AM  1000     19941     74.00      0.00  two_node_pipeli
10:04:09 AM  1000     19952     76.00      0.00  two_node_pipeli
10:04:09 AM  1000     19953     62.00      0.00  two_node_pipeli
10:04:09 AM  1000     19951     69.00      0.00  two_node_pipeli

10:04:09 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:10 AM  1000     19941     71.00      1.00  two_node_pipeli
10:04:10 AM  1000     19952     64.00      0.00  two_node_pipeli
10:04:10 AM  1000     19953     67.00      0.00  two_node_pipeli
10:04:10 AM  1000     19951     71.00      0.00  two_node_pipeli

10:04:10 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:11 AM  1000     19941     70.00      0.00  two_node_pipeli
10:04:11 AM  1000     19952     97.00      1.00  two_node_pipeli
10:04:11 AM  1000     19953     71.00      0.00  two_node_pipeli
10:04:11 AM  1000     19951     77.00      0.00  two_node_pipeli

10:04:11 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:12 AM  1000     19941     67.00      0.00  two_node_pipeli
10:04:12 AM  1000     19952     72.00      0.00  two_node_pipeli
10:04:12 AM  1000     19953     81.00      0.00  two_node_pipeli
10:04:12 AM  1000     19951     63.00      0.00  two_node_pipeli

10:04:12 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:13 AM  1000     19941     70.00      0.00  two_node_pipeli
10:04:13 AM  1000     19952     70.00      0.00  two_node_pipeli
10:04:13 AM  1000     19953     85.00      0.00  two_node_pipeli
10:04:13 AM  1000     19951     63.00      0.00  two_node_pipeli

10:04:13 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:14 AM  1000     19941     77.00      1.00  two_node_pipeli
10:04:14 AM  1000     19952     63.00      0.00  two_node_pipeli
10:04:14 AM  1000     19953     67.00      0.00  two_node_pipeli
10:04:14 AM  1000     19951     72.00      0.00  two_node_pipeli

10:04:14 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:15 AM  1000     19941     94.00      0.00  two_node_pipeli
10:04:15 AM  1000     19952     89.00      1.00  two_node_pipeli
10:04:15 AM  1000     19953     68.00      0.00  two_node_pipeli
10:04:15 AM  1000     19951     81.00      0.00  two_node_pipeli

10:04:15 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:16 AM  1000     19941     67.00      0.00  two_node_pipeli
10:04:16 AM  1000     19952     69.00      0.00  two_node_pipeli
10:04:16 AM  1000     19953     71.00      0.00  two_node_pipeli
10:04:16 AM  1000     19951     66.00      0.00  two_node_pipeli

10:04:16 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:17 AM  1000     19941     81.00      0.00  two_node_pipeli
10:04:17 AM  1000     19952     69.00      0.00  two_node_pipeli
10:04:17 AM  1000     19953     62.00      0.00  two_node_pipeli
10:04:17 AM  1000     19951     69.00      0.00  two_node_pipeli

10:04:17 AM   UID       PID   cswch/s nvcswch/s  Command
10:04:18 AM  1000     19941     70.00      1.00  two_node_pipeli
10:04:18 AM  1000     19952     76.00      0.00  two_node_pipeli
10:04:18 AM  1000     19953     77.00      0.00  two_node_pipeli
