Linux 5.10.216-tegra (neu-desktop) 	11/06/2024 	_aarch64_	(12 CPU)

10:22:03 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:22:04 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:05 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:06 AM  1000     28258  133.00    1.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:07 AM  1000     28258  135.00    1.00    0.00    0.00  136.00     5  two_node_pipeli
10:22:08 AM  1000     28258  134.00    1.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:09 AM  1000     28258  133.00    0.00    0.00    0.00  133.00     5  two_node_pipeli
10:22:10 AM  1000     28258  134.00    1.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:11 AM  1000     28258  133.66    0.00    0.00    0.00  133.66     5  two_node_pipeli
10:22:12 AM  1000     28258  133.00    2.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:13 AM  1000     28258  131.00    3.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:14 AM  1000     28258  131.00    2.00    0.00    0.00  133.00     5  two_node_pipeli
10:22:15 AM  1000     28258  135.00    4.00    0.00    0.00  139.00     5  two_node_pipeli
10:22:16 AM  1000     28258  129.00    5.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:17 AM  1000     28258  130.00    4.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:18 AM  1000     28258  130.00    4.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:19 AM  1000     28258  134.00    2.00    0.00    0.00  136.00     5  two_node_pipeli
10:22:20 AM  1000     28258  132.00    2.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:21 AM  1000     28258  133.00    2.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:22 AM  1000     28258  129.00    4.00    0.00    0.00  133.00     5  two_node_pipeli
10:22:23 AM  1000     28258  135.00    1.00    0.00    0.00  136.00     5  two_node_pipeli
10:22:24 AM  1000     28258  134.00    1.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:25 AM  1000     28258  133.00    0.00    0.00    0.00  133.00     5  two_node_pipeli
10:22:26 AM  1000     28258  134.00    1.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:27 AM  1000     28258  138.00    1.00    0.00    0.00  139.00     5  two_node_pipeli
10:22:28 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:29 AM  1000     28258  134.00    1.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:30 AM  1000     28258  136.00    0.00    0.00    0.00  136.00     5  two_node_pipeli
10:22:31 AM  1000     28258  137.00    1.00    0.00    0.00  138.00     5  two_node_pipeli
10:22:32 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:33 AM  1000     28258  134.00    2.00    0.00    0.00  136.00     5  two_node_pipeli
10:22:34 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:35 AM  1000     28258  136.00    1.00    0.00    0.00  137.00     5  two_node_pipeli
10:22:36 AM  1000     28258  135.00    1.00    0.00    0.00  136.00     5  two_node_pipeli
10:22:37 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:38 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:39 AM  1000     28258  136.00    1.00    0.00    0.00  137.00     5  two_node_pipeli
10:22:40 AM  1000     28258  134.00    1.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:41 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:42 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:43 AM  1000     28258  138.00    1.00    0.00    0.00  139.00     5  two_node_pipeli
10:22:44 AM  1000     28258  134.00    0.00    0.00    0.00  134.00     5  two_node_pipeli
10:22:45 AM  1000     28258  135.00    0.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:46 AM  1000     28258  134.00    1.00    0.00    0.00  135.00     5  two_node_pipeli
10:22:47 AM  1000     28258  137.00    0.00    0.00    0.00  137.00     5  two_node_pipeli
