GOMP: mean  max  std
1 :  22.05  32.11  3.56
2 :  23.52  32.34  3.52
3 :  24.12  48.23  2.99
4 :  25.84  56.27  7.05
5 :  27.76  56.19  7.51
6 :  29.53  56.22  6.99
7 :  27.4  48.26  5.99
8 :  26.79  55.99  5.43
9 :  25.89  48.14  4.73
10 :  27.57  48.2  5.57

ROSOMP: mean  max  std
1 :  12.86  16.01  0.2
2 :  8.51  8.89  0.15
3 :  8.3  9.07  0.27
4 :  8.34  16.0  0.48
5 :  13.69  16.02  3.08
6 :  8.48  8.82  0.12
7 :  8.22  8.84  0.23
8 :  15.24  21.75  1.98
9 :  15.23  23.22  2.43
10 :  11.19  24.02  3.99
