|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9623883. 
Timer_missed : 1
Timer_missed : 2

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395453107878470-End@1726395453215511809-Cost:107633339(ns) and Published msg: 0]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395453262320987-End@1726395453355805789-Cost:93484802(ns) and Published msg: 1]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395453108032069-End@1726395453375384324-Cost:267352255(ns) and Published msg: 0]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395453358514974-End@1726395453417978600-Cost:59463626(ns) and Route msg: 0]. 
Timer_missed : 3

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395453389156589-End@1726395453452442986-Cost:63286397(ns) and Published msg: 2]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395453418262676-End@1726395453476618832-Cost:58356156(ns) and Published msg: 1]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395453452998448-End@1726395453506987564-Cost:53989116(ns) and Route msg: 0]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395453507342409-End@1726395453543532051-Cost:36189642(ns) and Route msg: 1]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395453480524395-End@1726395453547788648-Cost:67264253(ns) and Published msg: 3]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395453543852416-End@1726395453575046116-Cost:31193700(ns) and Received msg: 0]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395453575334349-End@1726395453609678148-Cost:34343799(ns) and Route msg: 2]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395453609979474-End@1726395453629610306-Cost:19630832(ns) and Route msg: 1]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395453559010947-End@1726395453630735015-Cost:71724068(ns) and Published msg: 2]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395453629822991-End@1726395453654568431-Cost:24745440(ns) and Received msg: 0]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395453654804803-End@1726395453668646942-Cost:13842139(ns) and Route msg: 3]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395453668878122-End@1726395453677218766-Cost:8340644(ns) and Received msg: 1]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395453677516972-End@1726395453691600292-Cost:14083320(ns) and Route msg: 2]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395453633492011-End@1726395453694818901-Cost:61326890(ns) and Published msg: 4]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395453691998042-End@1726395453716199148-Cost:24201106(ns) and Published msg: 3]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395453723396661-End@1726395453752533856-Cost:29137195(ns) and Received msg: 2]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395453741703948-End@1726395453774645834-Cost:32941886(ns) and Received msg: 1]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395453774892713-End@1726395453810076131-Cost:35183418(ns) and Route msg: 4]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395453752913224-End@1726395453820169554-Cost:67256330(ns) and Published msg: 5]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395453810364213-End@1726395453839427546-Cost:29063333(ns) and Received msg: 3]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395453827357275-End@1726395453869720723-Cost:42363448(ns) and Route msg: 3]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395453839817617-End@1726395453896445729-Cost:56628112(ns) and Published msg: 4]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395453870200628-End@1726395453917281495-Cost:47080867(ns) and Route msg: 5]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395453905723603-End@1726395453925331975-Cost:19608372(ns) and Received msg: 4]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395453917584534-End@1726395453938821247-Cost:21236713(ns) and Received msg: 2]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395453939080938-End@1726395453963488600-Cost:24407662(ns) and Received msg: 5]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395453963730413-End@1726395453994106523-Cost:30376110(ns) and Route msg: 4]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395453925736028-End@1726395453995314109-Cost:69578081(ns) and Published msg: 6]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395454002860096-End@1726395454024444868-Cost:21584772(ns) and Received msg: 3]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395453994588706-End@1726395454047826609-Cost:53237903(ns) and Published msg: 5]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395454024964966-End@1726395454053221731-Cost:28256765(ns) and Route msg: 6]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395454053212397-End@1726395454078237094-Cost:25024697(ns) and Received msg: 4]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395454078503502-End@1726395454085399292-Cost:6895790(ns) and Received msg: 6]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395454053617573-End@1726395454099269228-Cost:45651655(ns) and Published msg: 7]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395454085573159-End@1726395454120647841-Cost:35074682(ns) and Route msg: 5]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395454120929607-End@1726395454148674065-Cost:27744458(ns) and Route msg: 7]. 

