Linux 5.15.0-121-generic (NEU) 	09/15/2024 	_x86_64_	(16 CPU)

06:47:09 PM   UID       PID   cswch/s nvcswch/s  Command
06:47:10 PM  1000      8987      3.00   4542.00  two_node_pipeli
06:47:11 PM  1000      8987     34.00    935.00  two_node_pipeli
06:47:12 PM  1000      8987     23.00   7291.00  two_node_pipeli
06:47:13 PM  1000      8987      0.00  10619.00  two_node_pipeli
06:47:14 PM  1000      8987      0.00   7394.00  two_node_pipeli
06:47:15 PM  1000      8987      0.00   9451.00  two_node_pipeli
06:47:16 PM  1000      8987     18.00   4603.00  two_node_pipeli
06:47:17 PM  1000      8987      1.00   7849.00  two_node_pipeli
06:47:18 PM  1000      8987      5.00   6441.00  two_node_pipeli
06:47:19 PM  1000      8987      0.00   7493.00  two_node_pipeli
06:47:20 PM  1000      8987      0.00   3783.00  two_node_pipeli
06:47:21 PM  1000      8987      0.00    171.00  two_node_pipeli
06:47:22 PM  1000      8987      0.00     90.00  two_node_pipeli
06:47:23 PM  1000      8987      0.00    148.00  two_node_pipeli
06:47:24 PM  1000      8987      0.00    349.00  two_node_pipeli
06:47:25 PM  1000      8987      0.00    134.65  two_node_pipeli
06:47:26 PM  1000      8987      9.00     55.00  two_node_pipeli
06:47:27 PM  1000      8987      0.00      2.00  two_node_pipeli
06:47:28 PM  1000      8987      0.00     27.00  two_node_pipeli
06:47:29 PM  1000      8987      0.00     25.00  two_node_pipeli
06:47:30 PM  1000      8987      1.00     24.00  two_node_pipeli
06:47:31 PM  1000      8987      2.97     35.64  two_node_pipeli
06:47:32 PM  1000      8987      0.99    124.75  two_node_pipeli
06:47:33 PM  1000      8987      0.00     76.24  two_node_pipeli
06:47:34 PM  1000      8987      2.00    114.00  two_node_pipeli
06:47:35 PM  1000      8987      0.00     29.00  two_node_pipeli
06:47:36 PM  1000      8987      0.00     27.00  two_node_pipeli
06:47:37 PM  1000      8987      1.00     38.00  two_node_pipeli
06:47:38 PM  1000      8987      0.00     64.00  two_node_pipeli
06:47:39 PM  1000      8987      0.00      0.00  two_node_pipeli
06:47:40 PM  1000      8987      1.98     43.56  two_node_pipeli
06:47:41 PM  1000      8987      2.00     24.00  two_node_pipeli
06:47:42 PM  1000      8987      3.00     45.00  two_node_pipeli
06:47:43 PM  1000      8987      0.00     14.85  two_node_pipeli
06:47:44 PM  1000      8987      0.00      0.00  two_node_pipeli
06:47:45 PM  1000      8987      0.00      2.00  two_node_pipeli
06:47:46 PM  1000      8987      0.00      0.00  two_node_pipeli
06:47:47 PM  1000      8987      0.00      1.00  two_node_pipeli
06:47:48 PM  1000      8987      0.00      1.98  two_node_pipeli
06:47:49 PM  1000      8987      0.00     24.00  two_node_pipeli
06:47:50 PM  1000      8987      0.00     18.00  two_node_pipeli
06:47:51 PM  1000      8987      0.00     28.00  two_node_pipeli
06:47:52 PM  1000      8987      5.00    210.00  two_node_pipeli
06:47:53 PM  1000      8987      4.00     56.00  two_node_pipeli
06:47:54 PM  1000      8987      0.00     34.00  two_node_pipeli
06:47:55 PM  1000      8987      0.00     19.00  two_node_pipeli
06:47:56 PM  1000      8987      0.99     39.60  two_node_pipeli
06:47:57 PM  1000      8987      0.00     32.67  two_node_pipeli
06:47:58 PM  1000      8987      0.00      0.00  two_node_pipeli
06:47:59 PM  1000      8987      1.98     19.80  two_node_pipeli
06:48:00 PM  1000      8987      1.00     18.00  two_node_pipeli
06:48:01 PM  1000      8987      1.00     33.00  two_node_pipeli
06:48:02 PM  1000      8987      1.00      9.00  two_node_pipeli
06:48:03 PM  1000      8987      2.00      0.00  two_node_pipeli
06:48:04 PM  1000      8987      1.00      0.00  two_node_pipeli
06:48:05 PM  1000      8987      0.99      0.00  two_node_pipeli
06:48:06 PM  1000      8987      3.00      0.00  two_node_pipeli
06:48:07 PM  1000      8987      0.99      9.90  two_node_pipeli
06:48:08 PM  1000      8987      0.00      1.00  two_node_pipeli
06:48:09 PM  1000      8987      0.00      4.00  two_node_pipeli
06:48:10 PM  1000      8987      0.00     21.00  two_node_pipeli
06:48:11 PM  1000      8987      0.00      1.00  two_node_pipeli
06:48:12 PM  1000      8987      0.00      1.00  two_node_pipeli
06:48:13 PM  1000      8987      0.00     16.00  two_node_pipeli
06:48:14 PM  1000      8987      0.00      0.00  two_node_pipeli
06:48:15 PM  1000      8987      0.99     19.80  two_node_pipeli
06:48:16 PM  1000      8987      0.00     53.00  two_node_pipeli
06:48:17 PM  1000      8987      0.00     43.00  two_node_pipeli
06:48:18 PM  1000      8987      7.00    513.00  two_node_pipeli
06:48:19 PM  1000      8987     15.00    577.00  two_node_pipeli
06:48:20 PM  1000      8987      2.00   1147.00  two_node_pipeli
06:48:21 PM  1000      8987      1.00    530.00  two_node_pipeli
06:48:22 PM  1000      8987      4.00    529.00  two_node_pipeli
06:48:23 PM  1000      8987      4.95    657.43  two_node_pipeli
06:48:24 PM  1000      8987      5.00    594.00  two_node_pipeli
06:48:25 PM  1000      8987      9.00    709.00  two_node_pipeli
06:48:26 PM  1000      8987      8.00    685.00  two_node_pipeli
06:48:27 PM  1000      8987      2.00    611.00  two_node_pipeli
06:48:28 PM  1000      8987     10.00    848.00  two_node_pipeli
06:48:29 PM  1000      8987      8.00    846.00  two_node_pipeli
06:48:30 PM  1000      8987      7.00    886.00  two_node_pipeli
06:48:31 PM  1000      8987      6.00    577.00  two_node_pipeli
06:48:32 PM  1000      8987      9.00    714.00  two_node_pipeli
06:48:33 PM  1000      8987      4.00    784.00  two_node_pipeli
06:48:34 PM  1000      8987     11.00    659.00  two_node_pipeli
06:48:35 PM  1000      8987      6.93    608.91  two_node_pipeli
06:48:36 PM  1000      8987      8.00    696.00  two_node_pipeli
06:48:37 PM  1000      8987      8.00    621.00  two_node_pipeli
06:48:38 PM  1000      8987      7.00    737.00  two_node_pipeli
06:48:39 PM  1000      8987      8.00    733.00  two_node_pipeli
06:48:40 PM  1000      8987      7.00    554.00  two_node_pipeli
06:48:41 PM  1000      8987      7.00    655.00  two_node_pipeli
06:48:42 PM  1000      8987      9.00    751.00  two_node_pipeli
06:48:43 PM  1000      8987      5.00    516.00  two_node_pipeli
06:48:44 PM  1000      8987      8.00    655.00  two_node_pipeli
06:48:45 PM  1000      8987      7.00    541.00  two_node_pipeli
06:48:46 PM  1000      8987      8.00    788.00  two_node_pipeli
06:48:47 PM  1000      8987      4.00    612.00  two_node_pipeli
06:48:48 PM  1000      8987      5.00    700.00  two_node_pipeli
06:48:49 PM  1000      8987      5.94    611.88  two_node_pipeli
06:48:50 PM  1000      8987      8.00    643.00  two_node_pipeli
06:48:51 PM  1000      8987      5.00    589.00  two_node_pipeli
06:48:52 PM  1000      8987      8.00    494.00  two_node_pipeli
06:48:53 PM  1000      8987      9.00    644.00  two_node_pipeli
06:48:54 PM  1000      8987      5.00    530.00  two_node_pipeli
06:48:55 PM  1000      8987     11.00    576.00  two_node_pipeli
06:48:56 PM  1000      8987      8.00    672.00  two_node_pipeli
06:48:57 PM  1000      8987      5.00    730.00  two_node_pipeli
06:48:58 PM  1000      8987      9.00    679.00  two_node_pipeli
06:48:59 PM  1000      8987     14.00    612.00  two_node_pipeli
06:49:00 PM  1000      8987      8.00    618.00  two_node_pipeli
06:49:01 PM  1000      8987      9.00    721.00  two_node_pipeli
06:49:02 PM  1000      8987      7.00    660.00  two_node_pipeli
06:49:03 PM  1000      8987     11.00    615.00  two_node_pipeli
06:49:04 PM  1000      8987     10.00    630.00  two_node_pipeli
06:49:05 PM  1000      8987      8.00    739.00  two_node_pipeli
06:49:06 PM  1000      8987      2.00    711.00  two_node_pipeli
06:49:07 PM  1000      8987      5.00    747.00  two_node_pipeli
06:49:08 PM  1000      8987      4.00    683.00  two_node_pipeli
06:49:09 PM  1000      8987      6.00    569.00  two_node_pipeli
06:49:10 PM  1000      8987      9.00    714.00  two_node_pipeli
06:49:11 PM  1000      8987      7.00    845.00  two_node_pipeli
06:49:12 PM  1000      8987      9.00    705.00  two_node_pipeli
06:49:13 PM  1000      8987      8.00    573.00  two_node_pipeli
06:49:14 PM  1000      8987      9.00    767.00  two_node_pipeli
06:49:15 PM  1000      8987      8.00    605.00  two_node_pipeli
06:49:16 PM  1000      8987      7.00    765.00  two_node_pipeli
06:49:17 PM  1000      8987      9.00    751.00  two_node_pipeli
06:49:18 PM  1000      8987     10.00    694.00  two_node_pipeli
06:49:19 PM  1000      8987      6.00    703.00  two_node_pipeli
06:49:20 PM  1000      8987     11.00    644.00  two_node_pipeli
06:49:21 PM  1000      8987      6.00    634.00  two_node_pipeli
06:49:22 PM  1000      8987     11.00    638.00  two_node_pipeli
06:49:23 PM  1000      8987      9.00    700.00  two_node_pipeli
06:49:24 PM  1000      8987      7.00    736.00  two_node_pipeli
06:49:25 PM  1000      8987      8.00    661.00  two_node_pipeli
06:49:26 PM  1000      8987      4.00    729.00  two_node_pipeli
06:49:27 PM  1000      8987      9.90    711.88  two_node_pipeli
06:49:28 PM  1000      8987      8.00    566.00  two_node_pipeli
06:49:29 PM  1000      8987      7.00    659.00  two_node_pipeli
06:49:30 PM  1000      8987      5.00    616.00  two_node_pipeli
06:49:31 PM  1000      8987      6.00    676.00  two_node_pipeli
06:49:32 PM  1000      8987     10.00    656.00  two_node_pipeli
06:49:33 PM  1000      8987     12.00    582.00  two_node_pipeli
06:49:34 PM  1000      8987     10.00    603.00  two_node_pipeli
06:49:35 PM  1000      8987      6.00    621.00  two_node_pipeli
06:49:36 PM  1000      8987      7.00    661.00  two_node_pipeli
06:49:37 PM  1000      8987      8.00    643.00  two_node_pipeli
06:49:38 PM  1000      8987      5.00    779.00  two_node_pipeli
06:49:39 PM  1000      8987      5.00    786.00  two_node_pipeli
06:49:40 PM  1000      8987      9.00    716.00  two_node_pipeli
06:49:41 PM  1000      8987      8.00    749.00  two_node_pipeli
06:49:42 PM  1000      8987      7.00    701.00  two_node_pipeli
06:49:43 PM  1000      8987      6.00    852.00  two_node_pipeli
06:49:44 PM  1000      8987      8.00    545.00  two_node_pipeli
06:49:45 PM  1000      8987      5.00    574.00  two_node_pipeli
06:49:46 PM  1000      8987      9.00    688.00  two_node_pipeli
06:49:47 PM  1000      8987      6.00    587.00  two_node_pipeli
06:49:48 PM  1000      8987      6.93    599.01  two_node_pipeli
06:49:49 PM  1000      8987      6.00    677.00  two_node_pipeli
06:49:50 PM  1000      8987     11.00    722.00  two_node_pipeli
06:49:51 PM  1000      8987      6.00    668.00  two_node_pipeli
06:49:52 PM  1000      8987      8.00    616.00  two_node_pipeli
06:49:53 PM  1000      8987     13.00    581.00  two_node_pipeli
06:49:54 PM  1000      8987     11.88    786.14  two_node_pipeli
06:49:55 PM  1000      8987      5.00    725.00  two_node_pipeli
06:49:56 PM  1000      8987      8.00    803.00  two_node_pipeli
06:49:57 PM  1000      8987      6.00    761.00  two_node_pipeli
06:49:58 PM  1000      8987      4.00    642.00  two_node_pipeli
06:49:59 PM  1000      8987      7.00    688.00  two_node_pipeli
06:50:00 PM  1000      8987      8.00    525.00  two_node_pipeli
06:50:01 PM  1000      8987      7.00    638.00  two_node_pipeli
06:50:02 PM  1000      8987     10.00    734.00  two_node_pipeli
06:50:03 PM  1000      8987      9.00    692.00  two_node_pipeli
06:50:04 PM  1000      8987      8.00    605.00  two_node_pipeli
06:50:05 PM  1000      8987      5.00    656.00  two_node_pipeli
06:50:06 PM  1000      8987      8.00    670.00  two_node_pipeli
06:50:07 PM  1000      8987      6.00    596.00  two_node_pipeli
06:50:08 PM  1000      8987      5.00    621.00  two_node_pipeli
06:50:09 PM  1000      8987      8.00    600.00  two_node_pipeli
Average:     1000      8987      5.34    820.10  two_node_pipeli
