|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9863234. 
Chain 1 : 200ms | 12	36	12
Chain 2 : 300ms | 18	54	18

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809826483531117-End@1726809826495779552-Cost:12248435(ns) and Published msg: 0]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809826603703722-End@1726809826622029467-Cost:18325745(ns) and Published msg: 0]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809826603808487-End@1726809826653604567-Cost:49796080(ns) and Route msg: 0]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809826653833205-End@1726809826666072398-Cost:12239193(ns) and Received msg: 0]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809826622552776-End@1726809826671820371-Cost:49267595(ns) and Route msg: 0]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809826671992775-End@1726809826690339052-Cost:18346277(ns) and Received msg: 0]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809826683424682-End@1726809826695660933-Cost:12236251(ns) and Published msg: 1]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809826883517037-End@1726809826895728447-Cost:12211410(ns) and Published msg: 2]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809826883625528-End@1726809826918793848-Cost:35168320(ns) and Route msg: 1]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809826906705148-End@1726809826925077006-Cost:18371858(ns) and Published msg: 1]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809826925239534-End@1726809826937458899-Cost:12219365(ns) and Received msg: 1]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809826919140869-End@1726809826970159328-Cost:51018459(ns) and Route msg: 2]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809826970377771-End@1726809826982605675-Cost:12227904(ns) and Received msg: 2]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809826937785470-End@1726809826988521914-Cost:50736444(ns) and Route msg: 1]. 
