Linux 5.15.0-122-generic (NEU) 	09/20/2024 	_x86_64_	(16 CPU)

03:19:26 PM   UID       PID   cswch/s nvcswch/s  Command
03:19:27 PM  1000     58554     23.00      0.00  two_node_pipeli
03:19:28 PM  1000     58554     36.00      0.00  two_node_pipeli
03:19:29 PM  1000     58554     32.00      1.00  two_node_pipeli
03:19:30 PM  1000     58554     25.00      0.00  two_node_pipeli
03:19:31 PM  1000     58554     33.00      0.00  two_node_pipeli
03:19:32 PM  1000     58554     28.00      0.00  two_node_pipeli
03:19:33 PM  1000     58554     33.00      1.00  two_node_pipeli
03:19:34 PM  1000     58554     44.00      0.00  two_node_pipeli
03:19:35 PM  1000     58554     32.00      0.00  two_node_pipeli
03:19:36 PM  1000     58554     37.00      0.00  two_node_pipeli
03:19:37 PM  1000     58554     35.00      1.00  two_node_pipeli
03:19:38 PM  1000     58554     26.00      0.00  two_node_pipeli
03:19:39 PM  1000     58554     23.00      0.00  two_node_pipeli
03:19:40 PM  1000     58554     47.00      0.00  two_node_pipeli
03:19:41 PM  1000     58554     28.00      1.00  two_node_pipeli
03:19:42 PM  1000     58554     32.00      0.00  two_node_pipeli
03:19:43 PM  1000     58554     39.00      0.00  two_node_pipeli
03:19:44 PM  1000     58554     31.00      0.00  two_node_pipeli
03:19:45 PM  1000     58554     30.00      1.00  two_node_pipeli
03:19:46 PM  1000     58554     41.00      0.00  two_node_pipeli
03:19:47 PM  1000     58554     25.00      0.00  two_node_pipeli
03:19:48 PM  1000     58554     28.00      0.00  two_node_pipeli
03:19:49 PM  1000     58554     41.00      1.00  two_node_pipeli
03:19:50 PM  1000     58554     17.00      0.00  two_node_pipeli
03:19:51 PM  1000     58554     30.00      0.00  two_node_pipeli
03:19:52 PM  1000     58554     48.00      0.00  two_node_pipeli
03:19:53 PM  1000     58554     39.00      1.00  two_node_pipeli
03:19:54 PM  1000     58554     35.00      0.00  two_node_pipeli
03:19:55 PM  1000     58554     31.00      0.00  two_node_pipeli
03:19:56 PM  1000     58554     27.00      0.00  two_node_pipeli
03:19:57 PM  1000     58554     32.00      1.00  two_node_pipeli
03:19:58 PM  1000     58554     41.00      0.00  two_node_pipeli
03:19:59 PM  1000     58554     33.00      0.00  two_node_pipeli
03:20:00 PM  1000     58554     23.00      0.00  two_node_pipeli
03:20:01 PM  1000     58554     40.00      1.00  two_node_pipeli
03:20:02 PM  1000     58554     25.00      0.00  two_node_pipeli
03:20:03 PM  1000     58554     33.00      0.00  two_node_pipeli
03:20:04 PM  1000     58554     42.00      0.00  two_node_pipeli
03:20:05 PM  1000     58554     32.00      1.00  two_node_pipeli
03:20:06 PM  1000     58554     42.00      0.00  two_node_pipeli
03:20:07 PM  1000     58554     26.00      0.00  two_node_pipeli
03:20:08 PM  1000     58554     33.00      0.00  two_node_pipeli
03:20:09 PM  1000     58554     24.00      1.00  two_node_pipeli
03:20:10 PM  1000     58554     49.00      0.00  two_node_pipeli
03:20:11 PM  1000     58554     32.00      0.00  two_node_pipeli
03:20:12 PM  1000     58554     27.00      0.00  two_node_pipeli
03:20:13 PM  1000     58554     35.00      1.00  two_node_pipeli
03:20:14 PM  1000     58554     30.00      0.00  two_node_pipeli
03:20:15 PM  1000     58554     31.00      0.00  two_node_pipeli
03:20:16 PM  1000     58554     41.00      0.00  two_node_pipeli
03:20:17 PM  1000     58554     34.00      1.00  two_node_pipeli
03:20:18 PM  1000     58554     33.00      0.00  two_node_pipeli
03:20:19 PM  1000     58554     35.00      0.00  two_node_pipeli
03:20:20 PM  1000     58554     31.00      0.00  two_node_pipeli
03:20:21 PM  1000     58554     23.00      1.00  two_node_pipeli
03:20:22 PM  1000     58554     42.00      0.00  two_node_pipeli
03:20:23 PM  1000     58554     29.00      0.00  two_node_pipeli
03:20:24 PM  1000     58554     31.00      0.00  two_node_pipeli
03:20:25 PM  1000     58554     31.00      1.00  two_node_pipeli
03:20:26 PM  1000     58554     29.00      0.00  two_node_pipeli
03:20:27 PM  1000     58554     34.00      0.00  two_node_pipeli
03:20:28 PM  1000     58554     39.00      0.00  two_node_pipeli
03:20:29 PM  1000     58554     32.00      1.00  two_node_pipeli
03:20:30 PM  1000     58554     28.00      0.00  two_node_pipeli
03:20:31 PM  1000     58554     46.00      0.00  two_node_pipeli
03:20:32 PM  1000     58554     15.00      0.00  two_node_pipeli
03:20:33 PM  1000     58554     28.00      1.00  two_node_pipeli
03:20:34 PM  1000     58554     47.00      0.00  two_node_pipeli
03:20:35 PM  1000     58554     38.00      0.00  two_node_pipeli
03:20:36 PM  1000     58554     31.00      0.00  two_node_pipeli
03:20:37 PM  1000     58554     31.00      1.00  two_node_pipeli
03:20:38 PM  1000     58554     27.00      0.00  two_node_pipeli
03:20:39 PM  1000     58554     30.00      0.00  two_node_pipeli
03:20:40 PM  1000     58554     38.00      0.00  two_node_pipeli
03:20:41 PM  1000     58554     28.00      1.00  two_node_pipeli
03:20:42 PM  1000     58554     25.00      0.00  two_node_pipeli
03:20:43 PM  1000     58554     36.00      0.00  two_node_pipeli
03:20:44 PM  1000     58554     22.00      0.00  two_node_pipeli
03:20:45 PM  1000     58554     36.00      1.00  two_node_pipeli
