|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9915924. 
Chain 1 : 200ms | 13	13	13
Chain 2 : 300ms | 20	20	20

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838067084749592-End@1726838067091029086-Cost:6279494(ns) and Published msg: 0]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838067113618604-End@1726838067119905019-Cost:6286415(ns) and Route msg: 0]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838067142461916-End@1726838067148737510-Cost:6275594(ns) and Received msg: 0]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838067205815314-End@1726838067215624811-Cost:9809497(ns) and Published msg: 0]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838067238445155-End@1726838067248260620-Cost:9815465(ns) and Route msg: 0]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838067270952312-End@1726838067281840556-Cost:10888244(ns) and Received msg: 0]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838067304716380-End@1726838067311728106-Cost:7011726(ns) and Published msg: 1]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838067335353456-End@1726838067341728416-Cost:6374960(ns) and Route msg: 1]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838067364263818-End@1726838067371377336-Cost:7113518(ns) and Received msg: 1]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838067484805176-End@1726838067491167159-Cost:6361983(ns) and Published msg: 2]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838067524082021-End@1726838067535967717-Cost:11885696(ns) and Route msg: 2]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838067540962311-End@1726838067556149777-Cost:15187466(ns) and Published msg: 1]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838067584100518-End@1726838067590476767-Cost:6376249(ns) and Received msg: 2]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838067603372090-End@1726838067613165613-Cost:9793523(ns) and Route msg: 1]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838067635728456-End@1726838067645539322-Cost:9810866(ns) and Received msg: 1]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838067684164396-End@1726838067690450868-Cost:6286472(ns) and Published msg: 3]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838067712581386-End@1726838067718877305-Cost:6295919(ns) and Route msg: 3]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838067740928434-End@1726838067748083144-Cost:7154710(ns) and Received msg: 3]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838067805489201-End@1726838067815290475-Cost:9801274(ns) and Published msg: 2]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838067837613301-End@1726838067847400747-Cost:9787446(ns) and Route msg: 2]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838067869629403-End@1726838067879434055-Cost:9804652(ns) and Received msg: 2]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838067901675892-End@1726838067908460546-Cost:6784654(ns) and Published msg: 4]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838067930795131-End@1726838067937173572-Cost:6378441(ns) and Route msg: 4]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838067960610332-End@1726838067968605246-Cost:7994914(ns) and Received msg: 4]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838068085525352-End@1726838068091820120-Cost:6294768(ns) and Published msg: 5]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838068125446428-End@1726838068131739009-Cost:6292581(ns) and Route msg: 5]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838068141817038-End@1726838068152138046-Cost:10321008(ns) and Published msg: 3]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838068187844112-End@1726838068212068492-Cost:24224380(ns) and Received msg: 5]. 

|TID:73464|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838068191079741-End@1726838068227897052-Cost:36817311(ns) and Route msg: 3]. 

|TID:73448|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838068249172634-End@1726838068258832040-Cost:9659406(ns) and Received msg: 3]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838068284107237-End@1726838068290481181-Cost:6373944(ns) and Published msg: 6]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838068312693955-End@1726838068319075090-Cost:6381135(ns) and Route msg: 6]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838068339890972-End@1726838068346262387-Cost:6371415(ns) and Received msg: 6]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838068405549855-End@1726838068415222565-Cost:9672710(ns) and Published msg: 4]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838068436871272-End@1726838068446524969-Cost:9653697(ns) and Route msg: 4]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838068467475904-End@1726838068477138740-Cost:9662836(ns) and Received msg: 4]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838068498567224-End@1726838068504859641-Cost:6292417(ns) and Published msg: 7]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838068525965433-End@1726838068532244864-Cost:6279431(ns) and Route msg: 7]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838068553095074-End@1726838068559402169-Cost:6307095(ns) and Received msg: 7]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838068685334238-End@1726838068691548446-Cost:6214208(ns) and Published msg: 8]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838068721533712-End@1726838068727852028-Cost:6318316(ns) and Route msg: 8]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838068741780986-End@1726838068755426335-Cost:13645349(ns) and Published msg: 5]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838068782199176-End@1726838068788485689-Cost:6286513(ns) and Received msg: 8]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838068800930312-End@1726838068810602776-Cost:9672464(ns) and Route msg: 5]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838068831752214-End@1726838068841440630-Cost:9688416(ns) and Received msg: 5]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838068884318676-End@1726838068890523401-Cost:6204725(ns) and Published msg: 9]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838068911815824-End@1726838068918043990-Cost:6228166(ns) and Route msg: 9]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838068938715092-End@1726838068944926437-Cost:6211345(ns) and Received msg: 9]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838069005567565-End@1726838069015262671-Cost:9695106(ns) and Published msg: 6]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838069036659448-End@1726838069046339162-Cost:9679714(ns) and Route msg: 6]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838069067162175-End@1726838069076811155-Cost:9648980(ns) and Received msg: 6]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838069097391723-End@1726838069103682932-Cost:6291209(ns) and Published msg: 10]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838069124089365-End@1726838069130393310-Cost:6303945(ns) and Route msg: 10]. 

|TID:73448|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838069150823743-End@1726838069157080887-Cost:6257144(ns) and Received msg: 10]. 

|TID:73448|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838069285247154-End@1726838069291538172-Cost:6291018(ns) and Published msg: 11]. 

|TID:73464|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838069323328996-End@1726838069329607015-Cost:6278019(ns) and Route msg: 11]. 

|TID:73448|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838069341285601-End@1726838069350954857-Cost:9669256(ns) and Published msg: 7]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838069381766669-End@1726838069388051263-Cost:6284594(ns) and Received msg: 11]. 

|TID:73448|-->[Chain2-Transfer2.exe:200(100us)]-->[Start@1726838069399797100-End@1726838069409480680-Cost:9683580(ns) and Route msg: 7]. 

|TID:73464|-->[Chain2-Command3.exe:200(100us)]-->[Start@1726838069430346611-End@1726838069440020023-Cost:9673412(ns) and Received msg: 7]. 

|TID:73464|-->[Chain1-Sensor1.exe:130(100us)]-->[Start@1726838069484127334-End@1726838069490333988-Cost:6206654(ns) and Published msg: 12]. 

|TID:73448|-->[Chain1-Transfer2.exe:130(100us)]-->[Start@1726838069511247178-End@1726838069517453007-Cost:6205829(ns) and Route msg: 12]. 

|TID:73464|-->[Chain1-Command3.exe:130(100us)]-->[Start@1726838069537608320-End@1726838069543834760-Cost:6226440(ns) and Received msg: 12]. 

|TID:73464|-->[Chain2-Sensor1.exe:200(100us)]-->[Start@1726838069605254664-End@1726838069614918870-Cost:9664206(ns) and Published msg: 8]. 

