Linux 5.15.0-122-generic (NEU) 	09/20/2024 	_x86_64_	(16 CPU)

09:14:30 PM   UID       PID   cswch/s nvcswch/s  Command
09:14:31 PM  1000     73448     66.00      8.00  two_node_pipeli
09:14:32 PM  1000     73448     67.00     17.00  two_node_pipeli
09:14:33 PM  1000     73448     65.00     10.00  two_node_pipeli
09:14:34 PM  1000     73448     75.00     10.00  two_node_pipeli
09:14:35 PM  1000     73448     65.00      9.00  two_node_pipeli
09:14:36 PM  1000     73448     64.00      8.00  two_node_pipeli
09:14:37 PM  1000     73448     66.00      8.00  two_node_pipeli
09:14:38 PM  1000     73448     60.00      5.00  two_node_pipeli
09:14:39 PM  1000     73448     64.00      7.00  two_node_pipeli
09:14:40 PM  1000     73448     66.00      8.00  two_node_pipeli
09:14:41 PM  1000     73448     60.00      5.00  two_node_pipeli
09:14:42 PM  1000     73448     70.00     11.00  two_node_pipeli
09:14:43 PM  1000     73448     73.00     12.00  two_node_pipeli
09:14:44 PM  1000     73448     60.00      5.00  two_node_pipeli
09:14:45 PM  1000     73448     64.00      7.00  two_node_pipeli
09:14:46 PM  1000     73448     69.00      8.00  two_node_pipeli
09:14:47 PM  1000     73448     71.00      9.00  two_node_pipeli
09:14:48 PM  1000     73448     66.00     10.00  two_node_pipeli
09:14:49 PM  1000     73448     77.00     10.00  two_node_pipeli
09:14:50 PM  1000     73448     71.00      9.00  two_node_pipeli
09:14:51 PM  1000     73448     65.00      9.00  two_node_pipeli
09:14:52 PM  1000     73448     76.00     10.00  two_node_pipeli
09:14:53 PM  1000     73448     72.00      9.00  two_node_pipeli
09:14:54 PM  1000     73448     66.00      9.00  two_node_pipeli
09:14:55 PM  1000     73448     75.00     10.00  two_node_pipeli
09:14:56 PM  1000     73448     71.00     10.00  two_node_pipeli
09:14:57 PM  1000     73448     67.00      9.00  two_node_pipeli
09:14:58 PM  1000     73448     76.00      9.00  two_node_pipeli
09:14:59 PM  1000     73448     65.00      8.00  two_node_pipeli
09:15:00 PM  1000     73448     64.00      8.00  two_node_pipeli
09:15:01 PM  1000     73448     72.00     13.00  two_node_pipeli
09:15:02 PM  1000     73448     68.00     16.00  two_node_pipeli
09:15:03 PM  1000     73448     68.00     11.00  two_node_pipeli
09:15:04 PM  1000     73448     66.00      8.00  two_node_pipeli
09:15:05 PM  1000     73448     60.00      5.00  two_node_pipeli
09:15:06 PM  1000     73448     64.00      7.00  two_node_pipeli
09:15:07 PM  1000     73448     66.00      8.00  two_node_pipeli
09:15:08 PM  1000     73448     60.00      5.00  two_node_pipeli
09:15:09 PM  1000     73448     64.00      7.00  two_node_pipeli
09:15:10 PM  1000     73448     75.00      9.00  two_node_pipeli
09:15:11 PM  1000     73448     73.00     10.00  two_node_pipeli
09:15:12 PM  1000     73448     67.00      9.00  two_node_pipeli
09:15:13 PM  1000     73448     76.00      9.00  two_node_pipeli
09:15:14 PM  1000     73448     73.00     10.00  two_node_pipeli
09:15:15 PM  1000     73448     67.00     10.00  two_node_pipeli
09:15:16 PM  1000     73448     76.00     10.00  two_node_pipeli
09:15:17 PM  1000     73448     63.00      8.00  two_node_pipeli
09:15:18 PM  1000     73448     64.00      7.00  two_node_pipeli
09:15:19 PM  1000     73448     66.00      8.00  two_node_pipeli
09:15:20 PM  1000     73448     60.00      5.00  two_node_pipeli
09:15:21 PM  1000     73448     64.00      7.00  two_node_pipeli
09:15:22 PM  1000     73448     71.00     13.00  two_node_pipeli
09:15:23 PM  1000     73448     67.00      7.00  two_node_pipeli
